Journal,ISSN,eISSN,Category,IF(2024),IF Quartile(2024),IF Rank(2024)
Global Health Research and Policy,N/A,2397-0642,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",4.6,Q1,37/419
JOURNAL OF CLINICAL PSYCHIATRY,0160-6689,1555-2101,"PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY, CLINICAL(SSCI)",4.6,Q1,12/185
Clinical Kidney Journal,2048-8505,2048-8513,UROLOGY & NEPHROLOGY(SCIE),4.6,Q1,15/133
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,1067-5027,1527-974X,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);MEDICAL INFORMATICS(SCIE)",4.6,Q1,20/185
ENVIRONMENT AND BEHAVIOR,0013-9165,1552-390X,"ENVIRONMENTAL STUDIES(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",4.6,Q1,21/221
Hepatology Communications,N/A,2471-254X,GASTROENTEROLOGY & HEPATOLOGY(SCIE),4.6,Q1,27/147
mSystems,N/A,2379-5077,MICROBIOLOGY(SCIE),4.6,Q1,34/163
GEOPHYSICAL RESEARCH LETTERS,0094-8276,1944-8007,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",4.6,Q1,34/258
Journal of Clinical Lipidology,1933-2874,1876-4789,PHARMACOLOGY & PHARMACY(SCIE),4.6,Q1,57/352
BIOLOGICAL RESEARCH,0716-9760,0717-6287,BIOLOGY(SCIE),4.6,Q1,14/107
Current Addiction Reports,N/A,2196-2952,SUBSTANCE ABUSE(SSCI),4.6,Q1,5/58
Antibiotics-Basel,2079-6382,2079-6382,INFECTIOUS DISEASES(SCIE);PHARMACOLOGY & PHARMACY(SCIE),4.6,Q1,17/137
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,0267-7261,1879-341X,"ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",4.6,Q1,34/258
Geomatics Natural Hazards & Risk,1947-5705,1947-5713,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE);REMOTE SENSING(SCIE);WATER RESOURCES(SCIE)",4.6,Q1,34/258
European Heart Journal-Acute Cardiovascular Care,2048-8726,2048-8734,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),4.6,Q1,45/230
Results in Physics,2211-3797,2211-3797,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, MULTIDISCIPLINARY(SCIE)",4.6,Q1,23/114
Computer Networks,1389-1286,1872-7069,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",4.6,Q1,11/60
Church History and Religious Culture,1871-241X,1871-2428,RELIGION(ESCI),0.3,N/A,N/A
Ethnologia Scandinavica,0348-9698,0348-9698,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
International Insolvency Review,1180-0518,1099-1107,"BUSINESS, FINANCE(SSCI);LAW(SSCI)",0.3,Q3,278/434
Journal of African Law,0021-8553,1464-3731,LAW(SSCI),0.3,Q3,278/434
METROPOLITAN MUSEUM JOURNAL,0077-8958,2169-3072,ART(AHCI),0.3,N/A,N/A
MUSIC & LETTERS,0027-4224,1477-4631,MUSIC(AHCI),0.3,N/A,N/A
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti,1849-2215,1849-2215,MATHEMATICS(ESCI),0.3,Q4,432/483
Rossiiskaya Istoriya,0869-5687,N/A,HISTORY(AHCI),0.3,Q2,176/538
Anuario de Historia de la Iglesia,1133-0104,2174-0887,HISTORY(AHCI);RELIGION(AHCI),0.3,Q2,176/538
FORUM DER PSYCHOANALYSE,0178-7667,1437-0751,"PSYCHOLOGY, PSYCHOANALYSIS(SSCI)",0.3,Q3,16/22
Journal of Vietnamese Studies,1559-372X,1559-3738,AREA STUDIES(ESCI),0.3,Q3,135/182
Landscape Architecture and Art,2255-8632,2255-8640,ARCHITECTURE(ESCI),0.3,N/A,N/A
Scottish Literary Review,1756-5634,2050-6678,"LITERATURE, BRITISH ISLES(AHCI)",0.3,N/A,N/A
ABE Journal,2275-6639,2275-6639,ARCHITECTURE(ESCI),0.3,N/A,N/A
Cauriensia-Revista Anual de Ciencias Eclesiasticas,1886-4945,2340-4256,RELIGION(ESCI),0.3,N/A,N/A
Quaestio Rossica,2311-911X,2313-6871,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
Stellenbosch Theological Journal,2413-9459,2413-9467,RELIGION(ESCI),0.3,N/A,N/A
Adelaide Law Review,0065-1915,0065-1915,LAW(ESCI),0.3,Q3,278/434
Annales Polonici Mathematici,0066-2216,1730-6272,MATHEMATICS(SCIE),0.3,Q4,432/483
CATHOLIC BIBLICAL QUARTERLY,0008-7912,2163-2529,RELIGION(AHCI),0.3,N/A,N/A
Christian Education Journal,0739-8913,2378-525X,EDUCATION & EDUCATIONAL RESEARCH(ESCI);RELIGION(ESCI),0.3,Q4,628/756
Cognitive Studies-Etudes Cognitives,2080-7147,2392-2397,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Company and Securities Law Journal,0729-2775,0729-2775,LAW(ESCI),0.3,Q3,278/434
Con-textos Kantianos-International Journal of Philosophy,2386-7655,2386-7655,PHILOSOPHY(ESCI),0.3,N/A,N/A
Dix-Neuf,1478-7318,1478-7318,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
EXPOSITORY TIMES,0014-5246,1745-5308,RELIGION(AHCI),0.3,N/A,N/A
Honam Mathematical Journal,1225-293X,2288-6176,MATHEMATICS(ESCI),0.3,Q4,432/483
International Electronic Journal of Algebra,1306-6048,1306-6048,MATHEMATICS(ESCI),0.3,Q4,432/483
Journal of Applied Hermeneutics,1927-4416,1927-4416,PHILOSOPHY(ESCI),0.3,N/A,N/A
Journal of HIV-AIDS & Social Services,1538-1501,1538-151X,SOCIAL WORK(ESCI),0.3,Q4,85/94
JOURNAL OF LIE THEORY,0949-5932,0949-5932,MATHEMATICS(SCIE),0.3,Q4,432/483
Sartre Studies International,1357-1559,1357-1559,PHILOSOPHY(ESCI),0.3,N/A,N/A
Boletin Academico-Revista de Investigacion y Arquitectura Contemporanea,N/A,2173-6723,ARCHITECTURE(ESCI),0.3,N/A,N/A
Buddhist Studies Review,0265-2897,1747-9681,RELIGION(AHCI),0.3,N/A,N/A
CAMERA OBSCURA,0270-5346,1529-1510,"FILM, RADIO, TELEVISION(AHCI)",0.3,N/A,N/A
Historia y Sociedad,0121-8417,2357-4720,HISTORY(ESCI),0.3,Q2,176/538
International Journal of Canadian Studies,1180-3991,1923-5291,"AREA STUDIES(ESCI);HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,Q3,135/182
Journal of Open Humanities Data,N/A,2059-481X,"HUMANITIES, MULTIDISCIPLINARY(ESCI);SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,0167-8094,1572-9273,MATHEMATICS(SCIE),0.3,Q4,432/483
Osmanli Arastirmalari-The Journal of Ottoman Studies,0255-0636,0255-0636,ASIAN STUDIES(AHCI);HISTORY(AHCI),0.3,Q2,176/538
Shofar-An Interdisciplinary Journal of Jewish Studies,0882-8539,1534-5165,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
Arthur Miller Journal,1558-8831,2333-3154,THEATER(ESCI),0.3,N/A,N/A
Con A de Animacion,2173-6049,2173-3511,"FILM, RADIO, TELEVISION(ESCI)",0.3,N/A,N/A
Journal for Educational Research Online-JERO,1866-6671,1866-6671,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Midcontinental Journal of Archaeology,0146-1109,2327-4271,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
MODERNISM-MODERNITY,1071-6068,1080-6601,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
ORNITHOLOGICAL SCIENCE,1347-0558,1347-0558,ORNITHOLOGY(SCIE),0.3,Q4,28/29
OXFORD ART JOURNAL,0142-6540,1741-7287,ART(AHCI),0.3,N/A,N/A
PROCEEDINGS OF THE JAPAN ACADEMY SERIES A-MATHEMATICAL SCIENCES,0386-2194,N/A,MATHEMATICS(SCIE),0.3,Q4,432/483
Vestnik Ugrovedeniya-Bulletin of Ugric Studies,2220-4156,2587-9766,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Antiquaries Journal,0003-5815,1758-5309,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
Atenea,0718-0462,0718-0462,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
AUSTRALIAN BUSINESS LAW REVIEW,0310-1053,0310-1053,LAW(ESCI),0.3,Q3,278/434
Babel-Revue Internationale de la Traduction-International Journal of Translation,0521-9744,1569-9668,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Comparative and Continental Philosophy,1757-0638,1757-0646,PHILOSOPHY(ESCI),0.3,N/A,N/A
Historical Studies in the Natural Sciences,1939-1811,1939-182X,"HISTORY & PHILOSOPHY OF SCIENCE(AHCI, SCIE, SSCI)",0.3,Q4,85/112
History of Philosophy & Logical Analysis,2666-4283,2666-4275,PHILOSOPHY(ESCI),0.3,N/A,N/A
International Journal of Sino-Western Studies,1799-8204,2242-2471,RELIGION(ESCI),0.3,N/A,N/A
Ius Canonicum,0021-325X,2254-6219,LAW(ESCI),0.3,Q3,278/434
Archeologia e Calcolatori,1120-6861,2385-1953,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
Baltic Journal of English Language Literature and Culture,1691-9971,2501-0395,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Dress-The Journal of the Costume Society of America,0361-2112,2042-1729,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
GERMAN STUDIES REVIEW,0149-7952,2164-8646,"AREA STUDIES(SSCI);HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,Q3,135/182
International Journal of Conflict and Violence,1864-1385,1864-1385,INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),0.3,Q4,275/322
International Journal of English Studies,1578-7044,1989-6131,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Kajian Malaysia,2180-4273,2180-4273,AREA STUDIES(ESCI),0.3,Q3,135/182
Scandia,0036-5483,0036-5483,"HISTORY(AHCI, SSCI)",0.3,Q2,176/538
Unterrichtspraxis-Teaching German,0042-062X,1756-1221,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Advanced Studies-Euro-Tbilisi Mathematical Journal,N/A,2667-9930,MATHEMATICS(ESCI),0.3,Q4,432/483
Arab Law Quarterly,0268-0556,1573-0255,LAW(ESCI),0.3,Q3,278/434
ART JOURNAL,0004-3249,2325-5307,ART(AHCI),0.3,N/A,N/A
Eesti ja Soome-Ugri Keeleteaduse Ajakiri-Journal of Estonian and Finno-Ugric Linguistics,1736-8987,2228-1339,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Megaron,1309-6915,1309-6915,ARCHITECTURE(ESCI),0.3,N/A,N/A
Ogigia-Revista Electronica de Estudios Hispanicos,1887-3731,1887-3731,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Tokyo Journal of Mathematics,0387-3870,N/A,MATHEMATICS(SCIE),0.3,Q4,432/483
ZEITSCHRIFT FUR SLAWISTIK,0044-3506,N/A,LANGUAGE & LINGUISTICS(AHCI),0.3,N/A,N/A
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,0025-5858,1865-8784,MATHEMATICS(SCIE),0.3,Q4,432/483
British Journal for the History of Mathematics,2637-5451,2637-5494,MATHEMATICS(ESCI),0.3,Q4,432/483
Espacio Tiempo y Forma-Serie III-Historia Medieval,0214-9745,2340-1362,HISTORY(ESCI),0.3,Q2,176/538
Journal of Technology and Chinese Language Teaching,1949-260X,1949-260X,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Makara Hubs-Asia,2355-794X,2406-9183,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",0.3,Q3,203/271
PAEDAGOGICA HISTORICA,0030-9230,1477-674X,EDUCATION & EDUCATIONAL RESEARCH(SSCI);HISTORY OF SOCIAL SCIENCES(SSCI),0.3,Q4,628/756
Universum-Revista de Humanidades y Ciencias Sociales,0718-2376,0716-498X,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Cadernos de Traducao,1414-526X,2175-7968,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Childhood and Philosophy,2525-5061,1984-5987,EDUCATION & EDUCATIONAL RESEARCH(ESCI);PHILOSOPHY(ESCI),0.3,Q4,628/756
Croatian Journal of Philosophy,1333-1108,1847-6139,PHILOSOPHY(AHCI),0.3,N/A,N/A
Facta Universitatis-Series Mathematics and Informatics,0352-9665,2406-047X,MATHEMATICS(ESCI),0.3,Q4,432/483
FAMILY & COMMUNITY HISTORY,1463-1180,1751-3812,HISTORY(ESCI),0.3,Q2,176/538
International Journal of Cuban Studies,1756-3461,1756-347X,AREA STUDIES(ESCI),0.3,Q3,135/182
Journal of Ancient History and Archaeology,2360-266X,2360-266X,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
Journal of Islamic Manuscripts,1878-4631,1878-464X,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Journal of Spanish Cultural Studies,1463-6204,1469-9818,"CULTURAL STUDIES(AHCI, SSCI)",0.3,Q3,43/64
LLT Journal-A Journal on Language and Language Teaching,1410-7201,2579-9533,EDUCATION & EDUCATIONAL RESEARCH(ESCI);LANGUAGE & LINGUISTICS(ESCI),0.3,Q4,628/756
Catalan Journal of Communication & Cultural Studies,1757-1898,1757-1901,COMMUNICATION(ESCI),0.3,Q4,197/227
Civil Justice Quarterly,0261-9261,N/A,LAW(ESCI),0.3,Q3,278/434
Conservation Science in Cultural Heritage,1974-4951,1973-9494,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Journal of Inequalities and Special Functions,2217-4303,2217-4303,MATHEMATICS(ESCI),0.3,Q4,432/483
Journal of Latin American Cultural Studies,1356-9325,1469-9575,"CULTURAL STUDIES(AHCI, SSCI)",0.3,Q3,43/64
Journal of Siberian Federal University-Mathematics & Physics,1997-1397,2313-6022,MATHEMATICS(ESCI),0.3,Q4,432/483
Matematicki Vesnik,0025-5165,2406-0682,MATHEMATICS(ESCI),0.3,Q4,432/483
Pravoprimenenie-Law Enforcement Review,2542-1514,2658-4050,LAW(ESCI),0.3,Q3,278/434
Revista de Historia Moderna-Anales de la Universidad de Alicante,0212-5862,1989-9823,HISTORY(ESCI),0.3,Q2,176/538
RUSSIAN JOURNAL OF NEMATOLOGY,0869-6918,0869-6918,ZOOLOGY(SCIE),0.3,Q4,177/181
Scriptura-International Journal of Bible Religion and Theology in Southern Africa,0254-1807,2305-445X,RELIGION(ESCI),0.3,N/A,N/A
Socialine Teorija Empirija Politika ir Praktika,1648-2425,2345-0266,SOCIAL WORK(ESCI),0.3,Q4,85/94
Vestnik Tomskogo Gosudarstvennogo Universiteta Filologiya-Tomsk State University Journal of Philology,1998-6645,2310-5046,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Vestnik Volgogradskogo Gosudarstvennogo Universiteta-Seriya 2-Yazykoznanie,1998-9911,2409-1979,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
CAHIERS VICTORIENS & EDOUARDIENS,0220-5610,N/A,"LITERATURE, BRITISH ISLES(AHCI)",0.3,N/A,N/A
Circulo de Linguistica Aplicada a la Comunicacion,1576-4737,1576-4737,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Ethnorema,1826-8803,1826-8803,LINGUISTICS(ESCI),0.3,Q4,249/303
Historia Ciencias Saude-Manguinhos,0104-5970,1678-4758,HISTORY & PHILOSOPHY OF SCIENCE(AHCI),0.3,Q4,85/112
Journal of Settlements and Spatial Planning,2069-3419,2248-2199,GEOGRAPHY(ESCI),0.3,Q4,139/173
Latin Americanist,1557-2021,1557-203X,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Linguistics and the Human Sciences,1742-2906,1743-1662,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Obradoiro de Historia Moderna,1133-0481,2340-0013,HISTORY(ESCI),0.3,Q2,176/538
Aisthesis-Pratiche Linguaggi e Saperi dell Estetico,2035-8466,2035-8466,PHILOSOPHY(ESCI),0.3,N/A,N/A
Al-Arabiyya-Journal of the American Association of Teachers of Arabic,0889-8731,2375-4036,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Annales Mathematicae et Informaticae,1787-5021,1787-6117,MATHEMATICS(ESCI),0.3,Q4,432/483
Complutense Journal of English Studies,2386-3935,2386-6624,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Fachsprache-Journal of Professional and Scientific Communication,1017-3285,2523-9201,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
Journal of the Ramanujan Mathematical Society,0970-1249,2320-3110,MATHEMATICS(SCIE),0.3,Q4,432/483
Pratiques Psychologiques,1269-1763,N/A,"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",0.3,Q4,200/221
Romanian Journal of Communication and Public Relations,1454-8100,2344-5440,COMMUNICATION(ESCI),0.3,Q4,197/227
Vernacular Architecture,0305-5477,1749-6292,ARCHITECTURE(AHCI),0.3,N/A,N/A
Acta Mathematica Vietnamica,0251-4184,2315-4144,MATHEMATICS(ESCI),0.3,Q4,432/483
Anuario Colombiano de Derecho Internacional-ACDI,2027-1131,2145-4493,LAW(ESCI),0.3,Q3,278/434
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades,1575-6823,2340-2199,PHILOSOPHY(ESCI),0.3,N/A,N/A
Atlantis-Critical Studies in Gender Culture & Social Justice,0702-7818,1715-0698,WOMENS STUDIES(ESCI),0.3,Q4,58/70
Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand,1033-1867,2164-4756,ARCHITECTURE(ESCI),0.3,N/A,N/A
Jordan Journal of Mathematics and Statistics,2075-7905,2227-5487,MATHEMATICS(ESCI),0.3,Q4,432/483
Journal of Humanistic Mathematics,2159-8118,2159-8118,HISTORY & PHILOSOPHY OF SCIENCE(ESCI),0.3,Q4,85/112
Jurnal Penelitian dan Pembelajaran IPA,2477-1422,2477-2038,"EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",0.3,Q4,81/86
Religion and Society-Advances in Research,2150-9298,2150-9301,RELIGION(ESCI),0.3,N/A,N/A
THEORETICAL LINGUISTICS,0301-4428,1613-4060,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Differences-A Journal of Feminist Cultural Studies,1040-7391,1527-1986,"CULTURAL STUDIES(AHCI, SSCI);WOMENS STUDIES(SSCI)",0.3,Q3,43/64
Ecclesial Practices,2214-4463,2214-4471,RELIGION(ESCI);SOCIOLOGY(ESCI),0.3,Q4,190/219
Journal de Theorie des Nombres de Bordeaux,1246-7405,2118-8572,MATHEMATICS(SCIE),0.3,Q4,432/483
Journal for Geometry and Graphics,1433-8157,1433-8157,MATHEMATICS(ESCI),0.3,Q4,432/483
Journal of Dynamics and Games,2164-6066,2164-6074,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(ESCI)",0.3,Q4,129/136
Korea Observer,0023-3919,0023-3919,AREA STUDIES(SSCI);INTERNATIONAL RELATIONS(SSCI),0.3,Q3,135/182
Missouri Journal of Mathematical Sciences,0899-6180,1085-2581,MATHEMATICS(ESCI),0.3,Q4,432/483
Pravni zapisi,2217-2815,2406-1387,LAW(ESCI),0.3,Q3,278/434
Revista de Llengua i Dret-Journal of Language and Law,0212-5056,2013-1453,LAW(ESCI),0.3,Q3,278/434
Wasafiri,0269-0055,1747-1508,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK,0301-3294,1613-0626,LANGUAGE & LINGUISTICS(AHCI),0.3,N/A,N/A
African Journal of International and Comparative Law,0954-8890,1755-1609,LAW(ESCI),0.3,Q3,278/434
Al-Shajarah,1394-6870,1394-6870,RELIGION(AHCI),0.3,N/A,N/A
Ancient Philosophy Today: DIALOGOI,2516-1156,2516-1164,HISTORY & PHILOSOPHY OF SCIENCE(ESCI);PHILOSOPHY(ESCI),0.3,Q4,85/112
Bratislava Law Review,2585-7088,2644-6359,LAW(ESCI),0.3,Q3,278/434
Conimbriga-Revista de Arqueologia,0084-9189,1647-8657,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
Contemporary Europe-Sovremennaya Evropa,0201-7083,0201-7083,AREA STUDIES(ESCI),0.3,Q3,135/182
International Journal of Parliamentary Studies,2666-8904,2666-8912,LAW(ESCI);POLITICAL SCIENCE(ESCI),0.3,Q3,278/434
INTERPRETATION-A JOURNAL OF BIBLE AND THEOLOGY,0020-9643,2159-340X,RELIGION(AHCI),0.3,N/A,N/A
Revista Catalana de Dret Public,1885-5709,1885-8252,LAW(ESCI),0.3,Q3,278/434
Revista Electronica de Fuentes y Archivos,1853-4503,1853-4503,HISTORY(ESCI),0.3,Q2,176/538
Social Philosophy and Policy,0265-0525,1471-6437,"ETHICS(SSCI);PHILOSOPHY(AHCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",0.3,Q3,203/271
TRANSLATION REVIEW,0737-4836,2164-0564,LANGUAGE & LINGUISTICS(AHCI);LITERATURE(AHCI),0.3,N/A,N/A
Tsukuba Journal of Mathematics,0387-4982,2423-821X,MATHEMATICS(ESCI),0.3,Q4,432/483
Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal,1996-7845,1996-7845,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
ZEITSCHRIFT FUR ETHNOLOGIE - Journal of Social and Cultural Anthropology,0044-2666,N/A,ANTHROPOLOGY(SSCI),0.3,Q4,118/141
Asian Women,1225-925X,2586-5714,WOMENS STUDIES(SSCI),0.3,Q4,58/70
Indian Journal of Gender Studies,0971-5215,0973-0672,WOMENS STUDIES(SSCI),0.3,Q4,58/70
International Journal of Technoethics,1947-3451,1947-346X,ETHICS(ESCI),0.3,Q4,71/77
JOURNAL OF PIDGIN AND CREOLE LANGUAGES,0920-9034,1569-9870,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Note di Matematica,1123-2536,1590-0932,MATHEMATICS(ESCI),0.3,Q4,432/483
Open Access Surgery,N/A,1178-7082,SURGERY(ESCI),0.3,Q4,289/312
Revue Roumaine de Philosophie,1220-5400,N/A,PHILOSOPHY(AHCI),0.3,N/A,N/A
Argumentation and Advocacy,1051-1431,2576-8476,COMMUNICATION(ESCI),0.3,Q4,197/227
Discrete Mathematics and Applications,0924-9265,1569-3929,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Frontiers of Education in China,1673-341X,1673-3533,EDUCATION & EDUCATIONAL RESEARCH(ESCI),0.3,Q4,628/756
Ge-Conservacion,1989-8568,1989-8568,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
HOUSTON JOURNAL OF MATHEMATICS,0362-1588,N/A,MATHEMATICS(SCIE),0.3,Q4,432/483
JAPANESE JOURNAL OF VETERINARY RESEARCH,0047-1917,0047-1917,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
Journal of Applied Mathematics & Informatics,2734-1194,2234-8417,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Journal of Asia-Pacific Pop Culture,2380-7679,2380-7687,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",0.3,N/A,N/A
Journal of Gaming and Virtual Worlds,1757-191X,1757-1928,COMMUNICATION(ESCI),0.3,Q4,197/227
Monatsschrift fur Kriminologie und Strafrechtsreform,0026-9301,2366-1968,CRIMINOLOGY & PENOLOGY(SSCI),0.3,Q4,102/111
Pflege,1012-5302,1664-283X,"NURSING(SCIE, SSCI)",0.3,Q4,181/192
Sintagma,0214-9141,2013-6455,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),0.3,Q4,249/303
Tort Law Review,1039-3285,1039-3285,LAW(ESCI),0.3,Q3,278/434
Transformation-Critical Perspectives on Southern Africa,0258-7696,1726-1368,AREA STUDIES(ESCI),0.3,Q3,135/182
Zephyrus-Revista de Prehistoria y Arqueologia,0514-7336,2386-3943,ARCHAEOLOGY(AHCI),0.3,N/A,N/A
Austrian Studies,1350-7532,2222-4262,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",0.3,N/A,N/A
Current Trends in Translation Teaching and Learning E,2342-7205,2342-7205,LINGUISTICS(ESCI),0.3,Q4,249/303
Didactica-Lengua y Literatura,1130-0531,1988-2548,LANGUAGE & LINGUISTICS(ESCI),0.3,N/A,N/A
ECOLOGY LAW QUARTERLY,0046-1121,0046-1121,ENVIRONMENTAL STUDIES(SSCI);LAW(SSCI),0.3,Q3,278/434
Journal of Mosaic Research,1309-047X,1309-047X,ARCHAEOLOGY(ESCI),0.3,N/A,N/A
Journal of Pediatric Intensive Care,2146-4618,2146-4626,PEDIATRICS(ESCI),0.3,Q4,166/191
Journal of the Korean Society for Industrial and Applied Mathematics,1226-9433,1229-0645,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
JSIAM Letters,1883-0609,1883-0617,"MATHEMATICS, APPLIED(ESCI)",0.3,Q4,328/343
Mirovaya Ekonomika i Mezhdunarodnye Otnosheniya,0131-2227,0131-2227,INTERNATIONAL RELATIONS(ESCI),0.3,Q4,146/169
Oral Science International,1348-8643,1881-4204,"DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)",0.3,Q4,148/162
Otoritas-Jurnal Ilmu Pemerintahan,2088-3706,2502-9320,POLITICAL SCIENCE(ESCI),0.3,Q4,275/322
Precedente,1657-6535,1657-6535,LAW(ESCI),0.3,Q3,278/434
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,1434-1220,2567-5834,VETERINARY SCIENCES(SCIE),0.3,Q4,150/170
Visual Anthropology,0894-9468,1545-5920,ANTHROPOLOGY(ESCI),0.3,Q4,118/141
Archaeology Ethnology and Anthropology of Eurasia,1563-0110,1531-832X,ANTHROPOLOGY(ESCI),0.3,Q4,118/141
Canadian Journal of Family and Youth,N/A,1718-9748,FAMILY STUDIES(ESCI),0.3,Q4,63/66
History of Economics Review,1037-0196,1838-6318,ECONOMICS(ESCI);HISTORY OF SOCIAL SCIENCES(ESCI),0.3,Q4,38/45
International Journal of Feminist Approaches To Bioethics,1937-4585,1937-4577,"ETHICS(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI);WOMENS STUDIES(SSCI)",0.3,Q4,58/70
