期刊缩写,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,JCR分区,2019年文章数,出版国家,出版周期
Aust Dent J,AUSTRALIAN DENTAL JOURNAL,2804,1.401,0.00231,Q3,53,澳大利亚,季刊
Aust Soc Work,Australian Social Work,829,1.4,0.00074,Q2,35,,
Build Serv Eng Res T,Building Services Engineering Research & Technology,764,1.4,0.00066,Q3,40,英国,季刊
Can J Elect Comput E,CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,341,1.4,0.0005,Q3,24,加拿大,季刊
Chem Ecol,CHEMISTRY AND ECOLOGY,1275,1.4,0.00098,Q3/Q4,61,英国,双月刊
Geofizika,Geofizika,212,1.4,0.00016,Q3/Q4,8,克罗地亚,半年刊
J Educ Res,JOURNAL OF EDUCATIONAL RESEARCH,2956,1.4,0.00189,Q3,51,,
J Ethol,JOURNAL OF ETHOLOGY,824,1.4,0.00074,Q2/Q4,43,日本,三年刊
Media Commun-Lisbon,Media and Communication,425,1.4,0.00089,Q3,81,,
New Zeal J Mar Fresh,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,1993,1.4,0.00088,Q3,36,新西兰,季刊
Qual Theor Dyn Syst,Qualitative Theory of Dynamical Systems,293,1.4,0.00083,Q1/Q2,62,瑞士,
Sociol Methodol,Sociological Methodology,3180,1.4,0.00087,Q2,9,,
Anim Sci J,ANIMAL SCIENCE JOURNAL,2384,1.399,0.00383,Q2,175,澳大利亚,双月刊
Jetp Lett+,JETP LETTERS,8026,1.399,0.00687,Q3,284,俄国,双月刊
J Brazil Chem Soc,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,5983,1.399,0.00435,Q3,261,巴西,双月刊
Rev Epidemiol Sante,REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,808,1.398,0.00102,Q4,57,法国,双月刊
Eur J Crim Policy Re,European Journal on Criminal Policy and Research,508,1.397,0.00076,Q2,25,,
J Neurol Surg Part B,Journal of Neurological Surgery Part B-Skull Base,896,1.397,0.00214,Q3/Q4,132,美国,
P I Mech Eng J-J Eng,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,2500,1.397,0.00228,Q3,154,英国,双月刊
Exp Agr,EXPERIMENTAL AGRICULTURE,1457,1.396,0.00108,Q2,79,英国,季刊
Med Dosim,Medical Dosimetry,784,1.396,0.00093,Q4,67,美国,季刊
Stat Anal Data Min,Statistical Analysis and Data Mining,478,1.396,0.00115,Q2/Q4,40,美国,
Acta Geophys,Acta Geophysica,1313,1.395,0.00182,Q3,150,波兰,
Circuit World,CIRCUIT WORLD,316,1.395,0.00014,Q3/Q4,39,英国,季刊
Oil Gas Sci Technol,Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,2040,1.395,0.00114,Q2/Q3/Q4,88,法国,双月刊
PFG-J Photogramm Rem,PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,61,1.395,0.00015,Q3/Q4,19,,
Int J Hum Robot,International Journal of Humanoid Robotics,571,1.394,0.00052,Q4,41,新加坡,季刊
Interpretation-J Sub,Interpretation-A Journal of Subsurface Characterization,1096,1.394,0.00423,Q3,131,美国,
Method Enzymol,Methods in Enzymology,24519,1.394,0.01528,Q4,257,美国,不定期
Microscopy-Jpn,Microscopy,504,1.394,0.00199,Q3,51,,
NeuroReport,NEUROREPORT,12762,1.394,0.0051,Q4,207,美国,双月刊
Echocardiogr-J Card,ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,3173,1.393,0.00579,Q4,225,美国,月刊
Episodes,EPISODES,2306,1.393,0.00089,Q4,30,中国,季刊
Eur J Taxon,European Journal of Taxonomy,600,1.393,0.00222,Q2/Q3,98,法国,
Int J Acad Dev,International Journal for Academic Development,610,1.393,0.00059,Q3,29,,
J Feline Med Surg,JOURNAL OF FELINE MEDICINE AND SURGERY,2673,1.393,0.00311,Q2,128,英国,双月刊
B Mater Sci,BULLETIN OF MATERIALS SCIENCE,4829,1.392,0.00282,Q4,273,印度,双月刊
J Obstet Gynaecol Re,JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,4142,1.392,0.0074,Q4,311,澳大利亚,双月刊
Math Med Biol,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,501,1.392,0.00063,Q3,21,英国,季刊
SIAM J Math Anal,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,6327,1.392,0.01525,Q2,138,美国,双月刊
Adv Nurs Sci,ADVANCES IN NURSING SCIENCE,1420,1.391,0.00074,Q3,37,美国,季刊
Mod Phys Lett A,MODERN PHYSICS LETTERS A,4335,1.391,0.00515,Q2/Q3/Q4,346,新加坡,周刊
Petrology+,PETROLOGY,977,1.391,0.00084,Q3,29,俄国,双月刊
Acta Histochem Cytoc,ACTA HISTOCHEMICA ET CYTOCHEMICA,399,1.39,0.0003,Q4,12,日本,双月刊
Discourse Soc,DISCOURSE & SOCIETY,2132,1.39,0.00139,Q2/Q3,30,,
Korea-Aust Rheol J,KOREA-AUSTRALIA RHEOLOGY JOURNAL,559,1.39,0.00055,Q3,27,韩国,季刊
Stoch Partial Differ,Stochastics and Partial Differential Equations-Analysis and Computations,266,1.39,0.00205,Q2,20,,
Eur J Educ,European Journal of Education,1080,1.389,0.00111,Q3,45,,
Infant Ment Health J,INFANT MENTAL HEALTH JOURNAL,1962,1.389,0.0019,Q3,45,,
Mater High Temp,MATERIALS AT HIGH TEMPERATURES,1089,1.389,0.00123,Q3/Q4,55,英国,季刊
Polar Sci,Polar Science,608,1.389,0.0012,Q3/Q4,73,荷兰,
Games Cult,Games and Culture,700,1.388,0.00094,Q1/Q3,46,,
Int J Impot Res,INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,2196,1.388,0.00096,Q4,58,英国,双月刊
Int J Green Energy,International Journal of Green Energy,1592,1.388,0.00167,Q4,136,美国,双月刊
J Optimiz Theory App,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,6583,1.388,0.01038,Q2/Q3,212,美国,月刊
Presse Med,PRESSE MEDICALE,2193,1.388,0.00244,Q3,170,法国,周刊
S Am J Herpetol,South American Journal of Herpetology,407,1.388,0.00068,Q2,25,巴西,
Aust J Agr Resour Ec,AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1016,1.386,0.00093,Q3,39,英国,季刊
Aust J Bot,AUSTRALIAN JOURNAL OF BOTANY,3474,1.386,0.00153,Q3,49,澳大利亚,双月刊
Hec Forum,HEC Forum,330,1.386,0.00045,Q2,22,,
Int J Forest Eng,International Journal of Forest Engineering,400,1.386,0.00043,Q3,24,,
P I Mech Eng C-J Mec,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,5048,1.386,0.00495,Q3,554,,
B Pol Acad Sci-Tech,Bulletin of the Polish Academy of Sciences-Technical Sciences,1343,1.385,0.001,Q3,113,波兰,季刊
Cutan Ocul Toxicol,Cutaneous and Ocular Toxicology,764,1.385,0.00114,Q3/Q4,62,美国,季刊
J Chem Educ,JOURNAL OF CHEMICAL EDUCATION,11622,1.385,0.00484,Q3,160,美国,月刊
P I Mech Eng D-J Aut,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,2940,1.384,0.00227,Q3,278,英国,月刊
Anthropol Theor,Anthropological Theory,800,1.383,0.00096,Q2,20,,
Geogr Ann B,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,1077,1.383,0.0007,Q3,18,,
J Cardiopulm Rehabil,Journal of Cardiopulmonary Rehabilitation and Prevention,1706,1.383,0.00184,Q4,84,美国,双月刊
Lang Policy-Neth,Language Policy,507,1.383,0.00063,Q2/Q3,26,,
Pol J Environ Stud,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,4745,1.383,0.00327,Q4,441,波兰,双月刊
Anim Front,Animal Frontiers,567,1.382,0.00111,Q2,33,,
Energ Explor Exploit,ENERGY EXPLORATION & EXPLOITATION,855,1.382,0.00104,Q4,92,英国,双月刊
Surg Laparo Endo Per,SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,2527,1.382,0.00314,Q3,125,美国,双月刊
Bot Mar,BOTANICA MARINA,2297,1.381,0.00103,Q3,50,德国,双月刊
Eur J Wildlife Res,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1912,1.381,0.00275,Q2/Q3,106,德国,季刊
J Couns Dev,JOURNAL OF COUNSELING AND DEVELOPMENT,2601,1.381,0.00143,Q3,40,,
J Urban Plan Dev,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,1240,1.381,0.00135,Q3/Q4,42,美国,季刊
ACM T Model Comput S,ACM Transactions on Modeling and Computer Simulation,714,1.38,0.00085,Q2/Q4,25,美国,季刊
Acta Psychol,ACTA PSYCHOLOGICA,6151,1.38,0.00705,Q4,166,,
Discourse Context Me,Discourse Context & Media,378,1.38,0.0012,Q3,52,,
Int J Low Extr Wound,International Journal of Lower Extremity Wounds,843,1.38,0.0009,Q3,48,美国,
J Manage Psychol,Journal of Managerial Psychology,3506,1.38,0.0022,Q3/Q4,38,,
Traffic Inj Prev,Traffic Injury Prevention,2498,1.38,0.0047,Q3/Q4,187,美国,双月刊
Acta Phys-Chim Sin,ACTA PHYSICO-CHIMICA SINICA,2659,1.379,0.00258,Q4,131,中国,不定期
Inra Prod Anim,Inra Productions Animales,291,1.379,0.00023,Q2,30,,双月刊
Int J Unconv Comput,International Journal of Unconventional Computing,166,1.379,0.00021,Q3,20,美国,季刊
Probl Post-Communism,PROBLEMS OF POST-COMMUNISM,441,1.379,0.00122,Q2,32,,
ACM T Appl Percept,ACM Transactions on Applied Perception,486,1.378,0.00057,Q3,21,美国,季刊
Ann Nucl Energy,ANNALS OF NUCLEAR ENERGY,7164,1.378,0.01492,Q2,581,美国,双月刊
Genet Test Mol Bioma,Genetic Testing and Molecular Biomarkers,1575,1.378,0.00223,Q4,106,美国,双月刊
Int J Precis Eng Man,International Journal of Precision Engineering and Manufacturing,3588,1.378,0.004,Q3/Q4,200,韩国,
Urol J,Urology Journal,954,1.378,0.00139,Q4,116,伊朗,季刊
Petrol Geosci,PETROLEUM GEOSCIENCE,1309,1.377,0.00103,Q4,36,英国,季刊
Public Money Manage,PUBLIC MONEY & MANAGEMENT,1416,1.377,0.00123,Q3,71,,
Stroj Vestn-J Mech E,STROJNISKI VESTNIK-JOURNAL OF MECHANICAL ENGINEERING,973,1.377,0.00101,Q3,65,斯洛文尼亚,月刊
Jpn J Appl Phys,JAPANESE JOURNAL OF APPLIED PHYSICS,16570,1.376,0.02027,Q3,1260,日本,月刊
J Korean Neurosurg S,Journal of Korean Neurosurgical Society,2119,1.376,0.00283,Q3/Q4,80,韩国,月刊
Acta Pharmaceut,ACTA PHARMACEUTICA,1277,1.375,0.00069,Q4,47,克罗地亚,季刊
Acta Zool-Stockholm,ACTA ZOOLOGICA,1257,1.375,0.00094,Q2/Q3,36,英国,季刊
Clin Gerontologist,Clinical Gerontologist,918,1.375,0.00089,Q3/Q4,50,美国,
Dendrobiology,Dendrobiology,344,1.375,0.00049,Q3,11,波兰,半年刊
Int J Pattern Recogn,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,1785,1.375,0.00154,Q4,189,新加坡,双月刊
Int J Uncertain Fuzz,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,1774,1.375,0.00078,Q4,51,新加坡,双月刊
J Polit Ideol,JOURNAL OF POLITICAL IDEOLOGIES,546,1.375,0.00082,Q2,16,,
J Prod Anal,JOURNAL OF PRODUCTIVITY ANALYSIS,2432,1.375,0.0018,Q3/Q4,17,,
J Real Estate Res,Journal of Real Estate Research,882,1.375,0.00038,Q3,20,,
Med Hypotheses,MEDICAL HYPOTHESES,6794,1.375,0.00529,Q4,345,苏格兰,月刊
Politics-Oxford,Politics,593,1.375,0.00114,Q2,31,,
Qual Soc Work,Qualitative Social Work,1046,1.375,0.001,Q2,56,,
Symb Interact,SYMBOLIC INTERACTION,1391,1.375,0.00081,Q2,28,,
Arch Appl Mech,ARCHIVE OF APPLIED MECHANICS,2862,1.374,0.00298,Q3,152,德国,月刊
Clin Appl Thromb-Hem,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,1945,1.374,0.0034,Q4,107,美国,季刊
J Coast Conserv,JOURNAL OF COASTAL CONSERVATION,1187,1.374,0.00122,Q3/Q4,84,瑞典,
J Vet Cardiol,Journal of Veterinary Cardiology,891,1.374,0.00125,Q2,61,英国,
Pharm Stat,PHARMACEUTICAL STATISTICS,1189,1.374,0.00262,Q2/Q4,51,英国,季刊
Drug Today,DRUGS OF TODAY,896,1.373,0.00085,Q4,53,西班牙,月刊
Inverse Probl Imag,Inverse Problems and Imaging,917,1.373,0.00274,Q2,60,美国,季刊
J Cutan Pathol,JOURNAL OF CUTANEOUS PATHOLOGY,3634,1.373,0.0035,Q3/Q4,166,丹麦,月刊
J Electromagnet Wave,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,2051,1.373,0.00252,Q3,178,荷兰,月刊
J Econ,Journal of Economics,1121,1.373,0.00085,Q3,36,,
Numer Linear Algebr,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,1534,1.373,0.00327,Q1/Q2,53,美国,双月刊
Transl Neurosci,Translational Neuroscience,412,1.373,0.00074,Q4,43,波兰,
CUAJ-Can Urol Assoc,CUAJ-Canadian Urological Association Journal,1923,1.372,0.0038,Q4,105,加拿大,双月刊
Silva Fenn,SILVA FENNICA,2094,1.372,0.0012,Q3,31,芬兰,季刊
Aust Account Rev,Australian Accounting Review,762,1.371,0.00031,Q3,41,,
Lett Math Phys,LETTERS IN MATHEMATICAL PHYSICS,2420,1.371,0.00545,Q2,103,荷兰,双月刊
Ann I Super Sanita,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,1030,1.37,0.00112,Q4,53,意大利,
Aust Forestry,AUSTRALIAN FORESTRY,585,1.37,0.00034,Q3,26,澳大利亚,季刊
Geol Acta,GEOLOGICA ACTA,737,1.37,0.00059,Q2,10,西班牙,季刊
Stud Confl Terror,Studies in Conflict & Terrorism,1261,1.37,0.00194,Q2,50,,
Can J Ophthalmol,CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,2218,1.369,0.0026,Q3,116,加拿大,双月刊
Water Environ Res,WATER ENVIRONMENT RESEARCH,3120,1.369,0.00154,Q3/Q4,151,美国,月刊
Ann Hum Genet,ANNALS OF HUMAN GENETICS,1776,1.368,0.00127,Q4,42,英国,双月刊
Dis Aquat Organ,DISEASES OF AQUATIC ORGANISMS,5862,1.368,0.00327,Q2/Q3,81,GERMANY,月刊
Int J Qual Stud Heal,International Journal of Qualitative Studies on Health and Well-Being,1169,1.368,0.00204,Q3,65,,
J Child Health Care,Journal of Child Health Care,838,1.368,0.00121,Q3,49,英国,
Phys Mesomech,Physical Mesomechanics,566,1.368,0.00066,Q3,54,,三年刊
Rev Contab,Revista de Contabilidad-Spanish Accounting Review,276,1.368,0.00015,Q3,19,,
Vet Anaesth Analg,VETERINARY ANAESTHESIA AND ANALGESIA,1971,1.368,0.00257,Q2,96,英国,季刊
Ann Surg Treat Res,Annals of Surgical Treatment and Research,773,1.367,0.00226,Q3,87,韩国,
B Atom Sci,BULLETIN OF THE ATOMIC SCIENTISTS,597,1.367,0.00118,Q2/Q3,31,,
Int J Health Plan M,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,1063,1.367,0.00173,Q3/Q4,249,,
Sch Eff Sch Improv,SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,1187,1.367,0.00127,Q3,25,,
Camb Rev Int Aff,Cambridge Review of International Affairs,697,1.366,0.00094,Q2/Q3,34,,
Eur Phys J D,EUROPEAN PHYSICAL JOURNAL D,4784,1.366,0.0069,Q4,264,德国,月刊
J Ind Manag Optim,Journal of Industrial and Management Optimization,893,1.366,0.00195,Q3,103,美国,季刊
P Lond Math Soc,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,4859,1.366,0.00934,Q1,89,英国,双月刊
Transit Metal Chem,TRANSITION METAL CHEMISTRY,2269,1.366,0.00084,Q3,85,荷兰,双月刊
Zool Anz,ZOOLOGISCHER ANZEIGER,2085,1.366,0.00207,Q2,86,德国,季刊
Curr Anal Chem,Current Analytical Chemistry,721,1.365,0.00069,Q4,68,美国,双月刊
Health Econ Policy L,Health Economics Policy and Law,553,1.365,0.00106,Q4,30,,
J Adhes Sci Technol,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,4248,1.365,0.00288,Q3/Q4,162,荷兰,月刊
Supramol Chem,SUPRAMOLECULAR CHEMISTRY,1936,1.365,0.0014,Q3,80,英国,双月刊
Ameghiniana,AMEGHINIANA,1654,1.364,0.00114,Q3,17,阿根廷,季刊
Exceptionality,Exceptionality,451,1.364,0.00049,Q2,22,,
Knowl Manag Aquat Ec,Knowledge and Management of Aquatic Ecosystems,722,1.364,0.00094,Q3,51,法国,季刊
Linguist Inq,LINGUISTIC INQUIRY,3017,1.364,0.00119,Q2,25,,
Aquacult Int,AQUACULTURE INTERNATIONAL,2738,1.363,0.00281,Q3,129,荷兰,双月刊
Int J Inclusive Educ,International Journal of Inclusive Education,1599,1.363,0.00177,Q3,86,,
J Circuit Syst Comp,JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,1435,1.363,0.00157,Q3,258,新加坡,双月刊
Nurs Open,Nursing Open,232,1.363,0.00052,Q3,168,,
Prosthet Orthot Int,PROSTHETICS AND ORTHOTICS INTERNATIONAL,1655,1.363,0.0019,Q3,71,英国,三年刊
T Am Math Soc,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,16293,1.363,0.03026,Q1,579,美国,月刊
Polit Res Quart,POLITICAL RESEARCH QUARTERLY,3460,1.362,0.00589,Q3,67,,
Scand J Urol,Scandinavian Journal of Urology,681,1.362,0.00175,Q4,58,瑞典,
Turk J Earth Sci,TURKISH JOURNAL OF EARTH SCIENCES,984,1.362,0.0008,Q4,47,土耳其,三年刊
Chem Lett,CHEMISTRY LETTERS,13073,1.361,0.00943,Q3,380,日本,月刊
Clay Miner,CLAY MINERALS,3000,1.361,0.0012,Q3/Q4,31,英国,季刊
Death Stud,DEATH STUDIES,2091,1.361,0.00223,Q3,70,,
Micropaleontology,MICROPALEONTOLOGY,1418,1.361,0.00041,Q3,24,美国,双月刊
Postep Derm Alergol,Postepy Dermatologii i Alergologii,815,1.361,0.00155,Q4,101,波兰,季刊
Acta Naturae,Acta Naturae,1023,1.36,0.00162,Q4,46,南非,
Comput Appl Math,COMPUTATIONAL & APPLIED MATHEMATICS,1254,1.36,0.00272,Q2,207,巴西,三年刊
Int J Educ Dev,INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,2189,1.36,0.00237,Q3,111,,
J Spacecraft Rockets,JOURNAL OF SPACECRAFT AND ROCKETS,4521,1.36,0.00347,Q3,165,美国,双月刊
J Appl Remote Sens,Journal of Applied Remote Sensing,2753,1.36,0.00449,Q4,238,美国,月刊
Lichenologist,LICHENOLOGIST,1226,1.36,0.00112,Q3/Q4,31,英国,双月刊
Dent Mater J,DENTAL MATERIALS JOURNAL,2816,1.359,0.00265,Q3/Q4,129,日本,双月刊
Insur Math Econ,INSURANCE MATHEMATICS & ECONOMICS,3551,1.359,0.00472,Q2/Q3,92,荷兰,双月刊
J Elder Abuse Negl,JOURNAL OF ELDER ABUSE & NEGLECT,620,1.359,0.00086,Q3,24,,
J Futures Markets,JOURNAL OF FUTURES MARKETS,1910,1.359,0.00153,Q3,78,,
J Multiling Multicul,JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,1233,1.359,0.00142,Q2,54,,
Mar Ecol-Evol Persp,Marine Ecology-An Evolutionary Perspective,2190,1.359,0.00243,Q3,32,意大利,季刊
Singap Med J,SINGAPORE MEDICAL JOURNAL,3312,1.359,0.00249,Q3,91,新加坡,月刊
Wildlife Soc B,WILDLIFE SOCIETY BULLETIN,3983,1.359,0.00307,Q3,57,美国,
Plasma Sci Technol,PLASMA SCIENCE & TECHNOLOGY,1908,1.358,0.00341,Q3,184,中国,月刊
Int J Rehabil Res,INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,1544,1.357,0.00137,Q2/Q3,59,美国,
J Fam Violence,JOURNAL OF FAMILY VIOLENCE,2743,1.357,0.00272,Q2/Q3,66,,
Brain Impair,Brain Impairment,376,1.356,0.00044,Q3/Q4,22,澳大利亚,三年刊
Health Info Libr J,Health Information and Libraries Journal,943,1.356,0.00053,Q3,22,,
Mammal Res,Mammal Research,299,1.356,0.0011,Q2,59,波兰,
Sci Technol Built En,Science and Technology for the Built Environment,634,1.356,0.00183,Q3/Q4,99,美国,
Anz J Surg,ANZ JOURNAL OF SURGERY,4470,1.355,0.00519,Q3,271,澳大利亚,月刊
Child Youth Care for,CHILD & YOUTH CARE FORUM,958,1.355,0.00151,Q3,48,,
J Money Credit Bank,JOURNAL OF MONEY CREDIT AND BANKING,5031,1.355,0.00758,Q3,70,,
Z Naturforsch A,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,2475,1.355,0.00167,Q3/Q4,106,德国,月刊
Ann Plas Surg,ANNALS OF PLASTIC SURGERY,8842,1.354,0.00917,Q3,333,美国,月刊
Chin J Commun,Chinese Journal of Communication,283,1.354,0.00057,Q3,25,,
Cyberpsychology,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,387,1.354,0.00087,Q3,21,,
Econ Educ Rev,ECONOMICS OF EDUCATION REVIEW,4179,1.354,0.00704,Q3,84,,
Geom Funct Anal,GEOMETRIC AND FUNCTIONAL ANALYSIS,2336,1.354,0.00832,Q1,47,瑞士,双月刊
ESAIM-Math Model Num,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,2117,1.353,0.00645,Q2,90,法国,双月刊
J Math Imaging Vis,JOURNAL OF MATHEMATICAL IMAGING AND VISION,2085,1.353,0.00487,Q2/Q3/Q4,72,荷兰,双月刊
Potential Anal,POTENTIAL ANALYSIS,1084,1.353,0.00491,Q1,54,荷兰,双月刊
Ironmak Steelmak,IRONMAKING & STEELMAKING,2391,1.352,0.00185,Q3,105,英国,双月刊
Sports Med Arthrosc,SPORTS MEDICINE AND ARTHROSCOPY REVIEW,965,1.352,0.00107,Q4,31,美国,季刊
Comput Graph-UK,COMPUTERS & GRAPHICS-UK,2225,1.351,0.00343,Q3,110,英国,双月刊
J Media Psychol-Ger,Journal of Media Psychology-Theories Methods and Applications,412,1.351,0.00071,Q3,22,,
J Pragmatics,JOURNAL OF PRAGMATICS,5507,1.35,0.00396,Q2,185,,
Med Anthropol Q,MEDICAL ANTHROPOLOGY QUARTERLY,1281,1.35,0.00138,Q2/Q3,31,,
Hip Int,Hip International,1304,1.349,0.00272,Q3,94,意大利,季刊
J Water Health,JOURNAL OF WATER AND HEALTH,2099,1.349,0.00208,Q4,83,,
J Macromol Sci A,Journal of Macromolecular Science Part A-Pure and Applied Chemistry,2746,1.349,0.00112,Q3,111,美国,月刊
Monatsh Chem,MONATSHEFTE FUR CHEMIE,4471,1.349,0.00281,Q3,216,奥地利,月刊
Deviant Behav,DEVIANT BEHAVIOR,1679,1.348,0.00183,Q2/Q3,112,,
Int J Technol Manage,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,1647,1.348,0.00061,Q3/Q4,33,瑞士,双月刊
Cleft Palate-Cran J,CLEFT PALATE-CRANIOFACIAL JOURNAL,4762,1.347,0.00291,Q3,180,美国,双月刊
Eur Phys J B,EUROPEAN PHYSICAL JOURNAL B,8405,1.347,0.00715,Q3,277,德国,双月刊
Int J Theor Phys,INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,5726,1.347,0.0046,Q3,350,美国,月刊
Int J Metalcast,International Journal of Metalcasting,567,1.347,0.00055,Q3,88,美国,季刊
Omega-J Death Dying,OMEGA-JOURNAL OF DEATH AND DYING,1118,1.347,0.00071,Q3,47,,
Postep Kardiol Inter,Postepy w Kardiologii Interwencyjnej,311,1.347,0.00062,Q4,65,波兰,季刊
Scand J Occup Ther,Scandinavian Journal of Occupational Therapy,1066,1.347,0.00102,Q2/Q3,48,英国,季刊
An Psicol-Spain,Anales de Psicologia,1618,1.346,0.00174,Q3/Q4,60,西班牙,半年刊
J Comp Psychol,JOURNAL OF COMPARATIVE PSYCHOLOGY,2744,1.346,0.00153,Q2/Q3/Q4,49,美国,季刊
J Mol Model,JOURNAL OF MOLECULAR MODELING,5881,1.346,0.00532,Q3/Q4,367,德国,不定期
Geriatr Orthop Surg,Geriatric Orthopaedic Surgery & Rehabilitation,507,1.345,0.00141,Q3/Q4,48,,
J Asian Nat Prod Res,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,2476,1.345,0.0022,Q3/Q4,142,英国,季刊
J Mech Sci Technol,Journal of Mechanical Science and Technology,7593,1.345,0.00896,Q3,610,韩国,月刊
Russ Math Surv+,RUSSIAN MATHEMATICAL SURVEYS,2966,1.345,0.00304,Q1,21,俄国,双月刊
Chinese J Org Chem,CHINESE JOURNAL OF ORGANIC CHEMISTRY,2505,1.344,0.00249,Q3,399,中国,月刊
Men Masc,Men and Masculinities,1210,1.344,0.00159,Q2,46,,
J Hist Geogr,JOURNAL OF HISTORICAL GEOGRAPHY,763,1.343,0.00101,Q1/Q3,35,,
Auton Agent Multi-Ag,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,849,1.342,0.00101,Q3/Q4,26,美国,双月刊
Int Braz J Urol,International Braz J Urol,1687,1.342,0.00239,Q4,137,巴西,
Int J Inj Control Sa,International Journal of Injury Control and Safety Promotion,679,1.342,0.00098,Q3,53,,
J X-Ray Sci Technol,Journal of X-Ray Science and Technology,693,1.342,0.00084,Q3/Q4,81,荷兰,季刊
Learn Behav,LEARNING & BEHAVIOR,893,1.342,0.00111,Q2/Q4,27,美国,季刊
Acta Geogr Slov,Acta Geographica Slovenica-Geografski Zbornik,278,1.341,0.00013,Q4,22,斯洛文尼亚,半年刊
Entertain Comput,Entertainment Computing,365,1.341,0.00041,Q3/Q4,38,,
Feminist Rev,FEMINIST REVIEW,1021,1.341,0.00086,Q2,21,,
Int J Law Psychiat,INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,1958,1.341,0.0019,Q2/Q3,114,,
J Energ Eng,JOURNAL OF ENERGY ENGINEERING,909,1.341,0.00125,Q3/Q4,43,美国,三年刊
J Renew Mater,Journal of Renewable Materials,400,1.341,0.00048,Q3/Q4,108,美国,
Learn Disabil Res Pr,Learning Disabilities Research & Practice,865,1.341,0.00082,Q2,17,,
J Exp Psychopathol,Journal of Experimental Psychopathology,405,1.34,0.00085,Q3,31,,
Sex Reprod Healthc,Sexual & Reproductive Healthcare,661,1.34,0.00168,Q3,54,,
Dev Genes Evol,DEVELOPMENT GENES AND EVOLUTION,1578,1.339,0.00127,Q4,16,德国,月刊
Elem School J,ELEMENTARY SCHOOL JOURNAL,2183,1.339,0.00127,Q3,29,,
Gerodontology,GERODONTOLOGY,1576,1.339,0.00132,Q4,48,美国,季刊
