Journal,年份,ISSN/EISSN,Review,OA Journal Index（OAJ）,Open Access,Web of Science,标注,大类,大类分区,Top,小类1,小类1分区,小类2,小类2分区,小类3,小类3分区,小类4,小类4分区,小类5,小类5分区,小类6,小类6分区
International Journal of Technology,2025,2086-9614/2087-2100,否,否,是,ESCI,,工程技术,4 [933/1437],否," ENGINEERING, MULTIDISCIPLINARY 工程：综合",4 [89/179],,,,,,,,,,
International Journal of Telemedicine and Applications,2025,1687-6415/1687-6423,否,否,是,ESCI,,医学,4 [2515/5603],否, HEALTH CARE SCIENCES & SERVICES 卫生保健与服务,4 [94/173],,,,,,,,,,
International Journal of Telerehabilitation,2025,1945-2020/1945-2020,否,否,是,ESCI,,医学,4 [2177/5603],否, REHABILITATION 康复医学,3 [53/169],,,,,,,,,,
International Journal of Testing,2025,1530-5058/1532-7574,否,否,否,ESCI,,社会学,4 [1059/2039],否," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [136/263],,,,,,,,,,
International Journal of the Classical Tradition,2025,1073-0508/1874-6292,否,否,否,AHCI,,历史学,2 [138/778],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",2 [34/406], CLASSICS 古典文学,3 [12/59],,,,,,,,
International Journal of the Commons,2025,1875-0281/1875-0281,否,否,是,SSCI,,经济学,3 [220/765],否, ENVIRONMENTAL STUDIES 环境研究,4 [95/183],,,,,,,,,,
International Journal of the Economics of Business,2025,1357-1516/1466-1829,否,否,否,ESCI,,经济学,4 [401/765],否, BUSINESS 商业：管理,4 [201/302], ECONOMICS 经济学,4 [337/599],,,,,,,,
International Journal of the History of Sport,2025,0952-3367/1743-9035,否,否,否,SSCI;AHCI,,管理学,4 [600/1025],否, HISTORY 历史学,4 [208/523]," HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",4 [91/139],,,,,,,,
International Journal of the Inclusive Museum,2025,1835-2014/1835-2022,否,否,否,ESCI,,社会学,4 [961/2039],否," HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",4 [87/139]," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",4 [122/263],,,,,,,,
International Journal of the Legal Profession,2025,0969-5958/1469-9257,否,否,否,ESCI,,社会学,4 [896/2039],否, LAW 法学,4 [156/427],,,,,,,,,,
International Journal of the Platonic Tradition,2025,1872-5082/1872-5473,否,否,否,AHCI,,哲学,3 [195/795],否, PHILOSOPHY 哲学,3 [82/328],,,,,,,,,,
International Journal of the Sociology of Language,2025,0165-2516/1613-3668,否,否,否,ESCI,,文学,2 [210/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,3 [105/391], LINGUISTICS 语言学,4 [130/294], SOCIOLOGY 社会学,4 [103/216],,,,,,
International Journal of Theoretical and Applied Finance,2025,0219-0249/1793-6322,否,否,否,ESCI,,经济学,4 [554/765],否," BUSINESS, FINANCE 商业：财政与金融",4 [183/231],,,,,,,,,,
INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS,2025,0020-7748/1572-9575,否,否,否,SCIE,,物理与天体物理,4 [263/406],否," PHYSICS, MULTIDISCIPLINARY 物理：综合",4 [65/111],,,,,,,,,,
International Journal of Therapy and Rehabilitation,2025,1741-1645/1759-779X,否,否,否,ESCI,,医学,4 [5101/5603],否, REHABILITATION 康复医学,4 [166/169],,,,,,,,,,
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,2025,1290-0729/1778-4166,否,否,否,SCIE,,工程技术,2 [143/1437],否," ENGINEERING, MECHANICAL 工程：机械",2 [22/181], THERMODYNAMICS 热力学,2 [10/78],,,,,,,,
International Journal of Thermodynamics,2025,1301-9724/2146-1511,否,否,否,ESCI,,工程技术,4 [1014/1437],否, THERMODYNAMICS 热力学,4 [60/78],,,,,,,,,,
INTERNATIONAL JOURNAL OF THERMOPHYSICS,2025,0195-928X/1572-9567,否,否,否,SCIE,,工程技术,3 [465/1437],否," CHEMISTRY, PHYSICAL 物理化学",3 [44/104], MECHANICS 力学,3 [74/171]," PHYSICS, APPLIED 物理：应用",3 [74/178], THERMODYNAMICS 热力学,3 [30/78],,,,
International Journal of Tourism Cities,2025,2056-5607/2056-5615,否,否,否,ESCI,,管理学,3 [316/1025],否," HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",4 [57/139],,,,,,,,,,
International Journal of Tourism Research,2025,1099-2340/1522-1970,否,否,否,SSCI,,管理学,3 [195/1025],否," HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",3 [34/139],,,,,,,,,,
INTERNATIONAL JOURNAL OF TOXICOLOGY,2025,1091-5818/1092-874X,否,否,否,SCIE,,医学,4 [4404/5603],否, PHARMACOLOGY & PHARMACY 药学,4 [284/350], TOXICOLOGY 毒理学,4 [97/106],,,,,,,,
International Journal of Training and Development,2025,1360-3736/1468-2419,否,否,否,ESCI,,管理学,4 [391/1025],否, MANAGEMENT 管理学,4 [191/404],,,,,,,,,,
International Journal of Training Research,2025,1448-0220/2204-0544,否,否,否,ESCI,,教育学,4 [616/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [558/754],,,,,,,,,,
International Journal of Transgender Health,2025,2689-5269/2689-5277,否,否,否,SSCI;SCIE,,医学,2 [597/5603],否," PSYCHOLOGY, CLINICAL 心理学：临床",2 [22/179]," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",2 [37/404]," SOCIAL SCIENCES, BIOMEDICAL 社会科学：生物医学",2 [6/46]," SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域",2 [13/263],,,,
International Journal of Transitional Justice,2025,1752-7716/1752-7724,否,否,否,SSCI,,社会学,2 [142/2039],否, LAW 法学,1 [13/427], INTERNATIONAL RELATIONS 国际关系学,3 [29/165], POLITICAL SCIENCE 政治学,3 [64/317],,,,,,
International Journal of Transport Economics,2025,0391-8440,否,否,否,SSCI,,工程技术,4 [1317/1437],否, ECONOMICS 经济学,4 [594/599], TRANSPORTATION 交通运输,4 [58/58],,,,,,,,
International Journal of Transportation Science and Technology,2025,2046-0430/2046-0449,否,否,是,ESCI,,工程技术,2 [176/1437],否, TRANSPORTATION 交通运输,2 [12/58], TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技,2 [12/71],,,,,,,,
INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,2025,1742-7584/1742-7592,否,否,否,SCIE,,农林科学,4 [580/904],否, ENTOMOLOGY 昆虫学,4 [85/109],,,,,,,,,,
International Journal of Tryptophan Research,2025,1178-6469/1178-6469,否,否,是,ESCI,,医学,4 [2519/5603],否, NEUROSCIENCES 神经科学,4 [192/309],,,,,,,,,,
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,2025,1027-3719/1815-7920,否,否,否,SCIE,,医学,3 [1966/5603],否, INFECTIOUS DISEASES 传染病学,4 [58/134], RESPIRATORY SYSTEM 呼吸系统,4 [39/101],,,,,,,,
INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,2025,0334-0082/2191-0332,否,否,否,SCIE,,工程技术,4 [1066/1437],否," ENGINEERING, AEROSPACE 工程：宇航",4 [39/53],,,,,,,,,,
International Journal of Turbomachinery Propulsion and Power,2025,2504-186X/2504-186X,否,否,是,ESCI,,工程技术,4 [601/1437],否," ENGINEERING, AEROSPACE 工程：宇航",3 [20/53]," ENGINEERING, MECHANICAL 工程：机械",4 [82/181],,,,,,,,
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,2025,0218-4885/1793-6411,否,否,否,SCIE,,计算机科学,4 [591/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [165/196],,,,,,,,,,
International Journal of Unconventional Computing,2025,1548-7199/1548-7202,否,否,否,SCIE,,计算机科学,4 [580/758],否," COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法",4 [119/143],,,,,,,,,,
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2025,0309-1317/1468-2427,否,否,否,SSCI,,经济学,1 [33/765],是, GEOGRAPHY 地理学,2 [12/171], REGIONAL & URBAN PLANNING 区域与城市规划,2 [7/54], URBAN STUDIES 城市研究,2 [7/77],,,,,,
INTERNATIONAL JOURNAL OF URBAN SCIENCES,2025,1226-5934/2161-6779,否,否,否,SSCI,,经济学,3 [204/765],否, ENVIRONMENTAL STUDIES 环境研究,4 [87/183], URBAN STUDIES 城市研究,4 [31/77],,,,,,,,
International Journal of Urban Sustainable Development,2025,1946-3138/1946-3146,否,否,是,ESCI,,社会学,3 [547/2039],否, ENVIRONMENTAL STUDIES 环境研究,4 [91/183],,,,,,,,,,
International Journal of Urological Nursing,2025,1749-7701/1749-771X,否,否,否,ESCI,,医学,4 [4853/5603],否, NURSING 护理,4 [172/191], UROLOGY & NEPHROLOGY 泌尿学与肾脏学,4 [115/126],,,,,,,,
INTERNATIONAL JOURNAL OF UROLOGY,2025,0919-8172/1442-2042,否,否,否,SCIE,,医学,4 [2467/5603],否, UROLOGY & NEPHROLOGY 泌尿学与肾脏学,4 [63/126],,,,,,,,,,
International Journal of Value Chain Management,2025,1741-5357/1741-5365,否,否,否,ESCI,,管理学,4 [962/1025],否, MANAGEMENT 管理学,4 [376/404],,,,,,,,,,
International Journal of Vascular Medicine,2025,2090-2824/2090-2832,否,否,是,ESCI,,医学,3 [1814/5603],否, PERIPHERAL VASCULAR DISEASE 外周血管病,3 [32/96],,,,,,,,,,
INTERNATIONAL JOURNAL OF VEHICLE DESIGN,2025,0143-3369/1741-5314,否,否,否,SCIE,,工程技术,4 [1286/1437],否," ENGINEERING, MECHANICAL 工程：机械",4 [168/181], TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技,4 [65/71],,,,,,,,
International Journal of Ventilation,2025,1473-3315/2044-4044,否,否,否,SCIE,,工程技术,4 [1011/1437],否, CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术,4 [68/91], ENERGY & FUELS 能源与燃料,4 [141/171],,,,,,,,
International Journal of Veterinary Science and Medicine,2025,2314-4580/2314-4599,否,否,是,ESCI,,农林科学,2 [184/904],否, VETERINARY SCIENCES 兽医学,2 [35/167],,,,,,,,,,
INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,2025,0790-0627/1360-0648,否,否,否,SCIE,,环境科学与生态学,4 [251/504],否, WATER RESOURCES 水资源,4 [61/124],,,,,,,,,,
International Journal of Wavelets Multiresolution and Information Processing,2025,0219-6913/1793-690X,否,否,否,SCIE,,计算机科学,4 [517/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",4 [102/131]," MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用",4 [106/136],,,,,,,,
International Journal of Web and Grid Services,2025,1741-1106/1741-1114,否,否,否,SCIE,,计算机科学,4 [643/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [210/249]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",4 [119/131],,,,,,,,
International Journal of Web Information Systems,2025,1744-0084/1744-0092,否,否,否,ESCI,,计算机科学,4 [444/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [162/249],,,,,,,,,,
International Journal of Web Services Research,2025,1545-7362/1546-5004,否,否,否,SCIE,,计算机科学,4 [620/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [204/249]," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",4 [114/131],,,,,,,,
International Journal of Whole Schooling,2025,1710-2146/1710-2146,否,否,是,ESCI,,教育学,4 [560/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [514/754],,,,,,,,,,
INTERNATIONAL JOURNAL OF WILDLAND FIRE,2025,1049-8001/1448-5516,否,否,否,SCIE,,农林科学,3 [283/904],否, FORESTRY 林学,3 [27/89],,,,,,,,,,
International Journal of Wine Business Research,2025,1751-1062/1751-1070,否,否,否,ESCI,,农林科学,2 [121/904],否, AGRONOMY 农艺学,2 [16/127],,,,,,,,,,
International Journal of Wireless Information Networks,2025,1068-9605/1572-8129,否,否,否,ESCI,,计算机科学,4 [553/758],否, TELECOMMUNICATIONS 电信学,4 [92/119],,,,,,,,,,
International Journal of Womens Health and Reproduction Sciences,2025,2330-4456/2330-4456,否,否,否,ESCI,,生物学,4 [986/1091],否, REPRODUCTIVE BIOLOGY 生殖生物学,4 [38/39],,,,,,,,,,
International Journal of Womens Health,2025,1179-1411/1179-1411,否,否,是,SCIE,,医学,3 [1707/5603],否, OBSTETRICS & GYNECOLOGY 妇产科学,3 [39/135],,,,,,,,,,
International Journal of Work-Integrated Learning,2025,2538-1032/2538-1032,否,否,是,ESCI,,教育学,4 [359/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [336/754],,,,,,,,,,
International Journal of Workplace Health Management,2025,1753-8351/1753-836X,否,否,否,ESCI,,医学,3 [1727/5603],否," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",3 [129/404],,,,,,,,,,
International Journal of Yoga,2025,0973-6131/2231-2714,否,否,是,ESCI,,医学,4 [4053/5603],否, INTEGRATIVE & COMPLEMENTARY MEDICINE 全科医学与补充医学,4 [26/43],,,,,,,,,,
International Journal on Artificial Intelligence Tools,2025,0218-2130/1793-6349,否,否,否,SCIE,,计算机科学,4 [594/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",4 [167/196]," COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用",4 [151/172],,,,,,,,
International Journal on Digital Libraries,2025,1432-5012/1432-1300,否,否,否,ESCI,,管理学,4 [394/1025],否, INFORMATION SCIENCE & LIBRARY SCIENCE 图书情报与档案管理,4 [54/160],,,,,,,,,,
International Journal on Document Analysis and Recognition,2025,1433-2833/1433-2825,否,否,否,SCIE,,计算机科学,3 [254/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",3 [81/196],,,,,,,,,,
International Journal on Information Technologies and Security,2025,1313-8251/1313-8251,否,否,否,ESCI,,计算机科学,4 [558/758],否," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",4 [188/249],,,,,,,,,,
International Journal on Minority and Group Rights,2025,1385-4879/1571-8115,否,否,否,ESCI,,社会学,4 [1296/2039],否, LAW 法学,4 [231/427],,,,,,,,,,
International Journal on Semantic Web and Information Systems,2025,1552-6283/1552-6291,否,否,否,SCIE,,计算机科学,2 [97/758],否," COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能",2 [35/196]," COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统",2 [37/249],,,,,,,,
International Journal on Smart Sensing and Intelligent Systems,2025,1178-5608/1178-5608,否,否,是,ESCI,,工程技术,4 [1295/1437],否," ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气",4 [341/352],,,,,,,,,,
International Journal on Software Tools for Technology Transfer,2025,1433-2779/1433-2787,否,否,否,SCIE,,计算机科学,4 [351/758],否," COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程",4 [72/131],,,,,,,,,,
International Journal on Working Conditions,2025,2182-9535/2182-9535,否,否,是,ESCI,,管理学,4 [1020/1025],否, INDUSTRIAL RELATIONS & LABOR 劳动关系学,4 [50/50],,,,,,,,,,
INTERNATIONAL JOURNAL,2025,0020-7020/2052-465X,否,否,否,SSCI,,社会学,3 [346/2039],否, INTERNATIONAL RELATIONS 国际关系学,4 [58/165],,,,,,,,,,
INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,2025,0147-5479/1471-6445,否,否,否,SSCI;AHCI,,历史学,3 [223/778],否, HISTORY 历史学,3 [134/523], INDUSTRIAL RELATIONS & LABOR 劳动关系学,4 [28/50],,,,,,,,
INTERNATIONAL LABOUR REVIEW,2025,0020-7780/1564-913X,否,否,否,SSCI,,管理学,3 [319/1025],否, ECONOMICS 经济学,3 [154/599], INDUSTRIAL RELATIONS & LABOR 劳动关系学,4 [19/50],,,,,,,,
International Maritime Health,2025,1641-9251/2081-3252,否,否,是,ESCI,,医学,4 [3932/5603],否," PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生",4 [312/404],,,,,,,,,,
INTERNATIONAL MARKETING REVIEW,2025,0265-1335/1758-6763,否,否,否,SSCI,,管理学,3 [254/1025],否, BUSINESS 商业：管理,4 [92/302],,,,,,,,,,
INTERNATIONAL MATERIALS REVIEWS,2025,0950-6608/1743-2804,是,否,否,SCIE,,材料科学,1 [17/495],是," MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",1 [14/436],,,,,,,,,,
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,2025,1073-7928/1687-0247,否,否,否,SCIE,,数学,2 [140/815],否, MATHEMATICS 数学,2 [85/487],,,,,,,,,,
International Medical Case Reports Journal,2025,1179-142X/1179-142X,否,否,是,ESCI,,医学,4 [4435/5603],否," MEDICINE, GENERAL & INTERNAL 医学：内科",4 [180/327],,,,,,,,,,
INTERNATIONAL MICROBIOLOGY,2025,1139-6709/1618-1905,否,否,否,SCIE,,生物学,4 [598/1091],否, BIOTECHNOLOGY & APPLIED MICROBIOLOGY 生物工程与应用微生物,4 [93/174], MICROBIOLOGY 微生物学,4 [107/159],,,,,,,,
INTERNATIONAL MIGRATION REVIEW,2025,0197-9183/1747-7379,否,否,否,SSCI,,社会学,2 [282/2039],否, DEMOGRAPHY 人口学,3 [11/49],,,,,,,,,,
INTERNATIONAL MIGRATION,2025,0020-7985/1468-2435,否,否,否,SSCI,,社会学,3 [441/2039],否, DEMOGRAPHY 人口学,4 [22/49],,,,,,,,,,
International Multilingual Research Journal,2025,1931-3152/1931-3160,否,否,否,SSCI;AHCI,,文学,2 [146/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,3 [76/391], LINGUISTICS 语言学,3 [100/294], EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [206/754],,,,,,
International Nano Letters,2025,2008-9295/2228-5326,否,否,否,ESCI,,材料科学,4 [281/495],否, NANOSCIENCE & NANOTECHNOLOGY 纳米科技,4 [100/139],,,,,,,,,,
International Negotiation-A Journal of Theory and Practice,2025,1382-340X/1571-8069,否,否,否,ESCI,,社会学,4 [933/2039],否, INTERNATIONAL RELATIONS 国际关系学,4 [106/165],,,,,,,,,,
International Neurourology Journal,2025,2093-4777/2093-6931,否,否,是,SCIE,,医学,4 [2225/5603],否, UROLOGY & NEPHROLOGY 泌尿学与肾脏学,4 [58/126],,,,,,,,,,
INTERNATIONAL NURSING REVIEW,2025,0020-8132/1466-7657,否,否,否,SSCI;SCIE,,医学,2 [990/5603],否, NURSING 护理,2 [14/191],,,,,,,,,,
INTERNATIONAL OPHTHALMOLOGY,2025,0165-5701/1573-2630,否,否,否,SCIE,,医学,4 [3224/5603],否, OPHTHALMOLOGY 眼科学,4 [56/95],,,,,,,,,,
INTERNATIONAL ORGANIZATION,2025,0020-8183/1531-5088,否,否,否,SSCI,,社会学,1 [9/2039],是, INTERNATIONAL RELATIONS 国际关系学,1 [1/165], POLITICAL SCIENCE 政治学,1 [3/317],,,,,,,,
International Organizations Law Review,2025,1572-3739/1572-3747,否,否,否,ESCI,,社会学,4 [1111/2039],否, LAW 法学,4 [194/427],,,,,,,,,,
International Orthodontics,2025,1761-7227/1879-680X,否,否,否,ESCI,,医学,3 [2059/5603],否," DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科",4 [60/157],,,,,,,,,,
INTERNATIONAL ORTHOPAEDICS,2025,0341-2695/1432-5195,否,否,否,SCIE,,医学,3 [1458/5603],否, ORTHOPEDICS 骨科,3 [37/136],,,,,,,,,,
International Peacekeeping,2025,1353-3312/1743-906X,否,否,否,SSCI,,社会学,2 [180/2039],否, INTERNATIONAL RELATIONS 国际关系学,3 [33/165],,,,,,,,,,
INTERNATIONAL PHILOSOPHICAL QUARTERLY,2025,0019-0365/2153-8077,否,否,否,AHCI,,哲学,4 [439/795],否, PHILOSOPHY 哲学,4 [160/328],,,,,,,,,,
International Planning Studies,2025,1356-3475/1469-9265,否,否,否,ESCI,,经济学,3 [165/765],否, REGIONAL & URBAN PLANNING 区域与城市规划,4 [23/54],,,,,,,,,,
INTERNATIONAL POLITICAL SCIENCE REVIEW,2025,0192-5121/1460-373X,否,否,否,SSCI,,社会学,2 [139/2039],否, POLITICAL SCIENCE 政治学,3 [63/317],,,,,,,,,,
International Political Sociology,2025,1749-5679/1749-5687,否,否,否,SSCI,,社会学,1 [35/2039],是, INTERNATIONAL RELATIONS 国际关系学,1 [7/165], SOCIOLOGY 社会学,1 [9/216], POLITICAL SCIENCE 政治学,2 [20/317],,,,,,
International Politics,2025,1384-5748/1740-3898,否,否,否,SSCI,,社会学,3 [338/2039],否, POLITICAL SCIENCE 政治学,3 [107/317], INTERNATIONAL RELATIONS 国际关系学,4 [57/165],,,,,,,,
INTERNATIONAL POLYMER PROCESSING,2025,0930-777X/2195-8602,否,否,否,SCIE,,工程技术,4 [1091/1437],否," ENGINEERING, CHEMICAL 工程：化工",4 [122/169], POLYMER SCIENCE 高分子科学,4 [81/94],,,,,,,,
International Productivity Monitor,2025,1492-9759/1492-9767,否,否,是,ESCI,,经济学,4 [658/765],否, ECONOMICS 经济学,4 [526/599],,,,,,,,,,
INTERNATIONAL PSYCHOGERIATRICS,2025,1041-6102/1741-203X,否,否,否,SSCI;SCIE,,医学,2 [896/5603],否, GERIATRICS & GERONTOLOGY 老年医学,2 [17/72], GERONTOLOGY 老年医学（社科）,2 [10/48], PSYCHOLOGY 心理学,2 [19/92], PSYCHIATRY 精神病学,3 [60/277]," PSYCHOLOGY, CLINICAL 心理学：临床",3 [40/179],,
International Public History,2025,2567-1111/2567-1111,否,否,否,ESCI,,历史学,4 [447/778],否, HISTORY 历史学,4 [266/523],,,,,,,,,,
International Public Management Journal,2025,1096-7494/1559-3169,否,否,否,SSCI,,管理学,4 [362/1025],否, PUBLIC ADMINISTRATION 公共管理,4 [41/91],,,,,,,,,,
International Real Estate Review,2025,2154-8919/2154-8919,否,否,否,ESCI,,经济学,4 [662/765],否, ECONOMICS 经济学,4 [528/599],,,,,,,,,,
INTERNATIONAL REGIONAL SCIENCE REVIEW,2025,0160-0176/1552-6925,否,否,否,SSCI,,经济学,3 [281/765],否, ENVIRONMENTAL STUDIES 环境研究,4 [109/183], REGIONAL & URBAN PLANNING 区域与城市规划,4 [36/54], URBAN STUDIES 城市研究,4 [36/77],,,,,,
International Relations of the Asia-Pacific,2025,1470-482X/1470-4838,否,否,否,SSCI,,社会学,2 [198/2039],否, INTERNATIONAL RELATIONS 国际关系学,3 [34/165],,,,,,,,,,
International Relations,2025,0047-1178/1741-2862,否,否,否,SSCI,,社会学,2 [275/2039],否, INTERNATIONAL RELATIONS 国际关系学,3 [49/165],,,,,,,,,,
International Research in Childrens Literature,2025,1755-6198/1755-6201,否,否,否,AHCI,,文学,4 [555/1193],否, LITERATURE 其他形式的文学,4 [91/199],,,,,,,,,,
International Research in Early Childhood Education,2025,1838-0689/1838-0689,否,否,否,ESCI,,教育学,4 [731/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [661/754],,,,,,,,,,
International Research in Geographical and Environmental Education,2025,1038-2046/1747-7611,否,否,否,ESCI,,教育学,4 [282/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [265/754],,,,,,,,,,
International Review for Spatial Planning and Sustainable Development,2025,2187-3666/2187-3666,否,否,否,ESCI,,管理学,4 [542/1025],否, GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术,4 [58/91],,,,,,,,,,
International Review for the Sociology of Sport,2025,1012-6902/1461-7218,否,否,否,SSCI,,管理学,3 [149/1025],否, SOCIOLOGY 社会学,2 [32/216]," HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",3 [22/139],,,,,,,,
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,2025,0020-8523/1461-7226,否,否,否,SSCI,,管理学,3 [329/1025],否, PUBLIC ADMINISTRATION 公共管理,4 [37/91],,,,,,,,,,
International Review of Applied Economics,2025,0269-2171/1465-3486,否,否,否,ESCI,,经济学,4 [449/765],否, ECONOMICS 经济学,4 [375/599],,,,,,,,,,
International Review of Economics & Finance,2025,1059-0560/1873-8036,否,否,否,SSCI,,经济学,2 [93/765],否, ECONOMICS 经济学,2 [90/599]," BUSINESS, FINANCE 商业：财政与金融",3 [36/231],,,,,,,,
International Review of Economics Education,2025,1477-3880/2352-4421,否,否,否,SSCI,,教育学,4 [348/840],否, ECONOMICS 经济学,4 [238/599], EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [325/754],,,,,,,,
INTERNATIONAL REVIEW OF EDUCATION,2025,0020-8566/1573-0638,否,否,否,ESCI,,教育学,3 [170/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [167/754],,,,,,,,,,
International Review of Environmental and Resource Economics,2025,1932-1465/1932-1473,是,否,否,ESCI,,经济学,4 [582/765],否, ECONOMICS 经济学,4 [473/599],,,,,,,,,,
International Review of Finance,2025,1369-412X/1468-2443,否,否,否,SSCI,,经济学,4 [451/765],否," BUSINESS, FINANCE 商业：财政与金融",4 [156/231],,,,,,,,,,
International Review of Financial Analysis,2025,1057-5219/1873-8079,否,否,否,SSCI,,经济学,2 [46/765],是," BUSINESS, FINANCE 商业：财政与金融",2 [15/231],,,,,,,,,,
INTERNATIONAL REVIEW OF HYDROBIOLOGY,2025,1434-2944/1522-2632,否,否,否,SCIE,,生物学,4 [820/1091],否, MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学,4 [82/118],,,,,,,,,,
International Review of Information Ethics,2025,1614-1687/1614-1687,否,否,否,ESCI,,哲学,4 [787/795],否, ETHICS 伦理学,4 [76/77],,,,,,,,,,
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,2025,0144-8188/1873-6394,否,否,否,SSCI,,社会学,4 [1139/2039],否, ECONOMICS 经济学,4 [365/599], LAW 法学,4 [199/427],,,,,,,,
International Review of Mission,2025,0020-8582/1758-6631,否,否,否,ESCI,,哲学,4 [513/795],否, RELIGION 宗教,4 [247/340],,,,,,,,,,
International Review of Pragmatics,2025,1877-3095/1877-3109,否,否,否,ESCI,,文学,4 [664/1193],否, LANGUAGE & LINGUISTICS 语言与语言学,4 [254/391],,,,,,,,,,
INTERNATIONAL REVIEW OF PSYCHIATRY,2025,0954-0261/1369-1627,是,否,否,SSCI,,医学,3 [1113/5603],否, PSYCHIATRY 精神病学,3 [72/277],,,,,,,,,,
International Review of Research in Open and Distributed Learning,2025,1492-3831/1492-3831,否,否,是,SSCI,,教育学,3 [176/840],否, EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究,4 [172/754],,,,,,,,,,
International Review of Retail Distribution and Consumer Research,2025,0959-3969/1466-4402,否,否,否,ESCI,,管理学,4 [421/1025],否, BUSINESS 商业：管理,4 [150/302],,,,,,,,,,
International Review of Scottish Studies,2025,0703-1580/1923-5763,否,否,是,ESCI,,社会学,4 [828/2039],否," HUMANITIES, MULTIDISCIPLINARY 人文科学",3 [71/406],,,,,,,,,,
INTERNATIONAL REVIEW OF SOCIAL HISTORY,2025,0020-8590/1469-512X,否,否,否,SSCI;AHCI,,历史学,2 [140/778],否, HISTORY 历史学,3 [81/523],,,,,,,,,,
