期刊缩写,Journal,JCR分区,2019年文章数,出版国家,出版周期
ACS Macro Lett,ACS Macro Letters,Q1,274,美国,月刊
Terror Polit Violenc,Terrorism and Political Violence,Q2,64,,
Microscopy-Jpn,Microscopy,Q3,51,,
Prog Orthod,Progress in Orthodontics,Q2,45,,
Russ J Genet+,Russian Journal of Genetics,Q4,164,俄国,月刊
Time Soc,Time & Society,Q3,77,,
Blood Coagul Fibrin,Blood Coagulation & Fibrinolysis,Q4,70,美国,双月刊
Agrochimica,Agrochimica,Q4,26,意大利,半年刊
Opt Laser Technol,Optics and Laser Technology,Q1/Q2,736,,
Curr Perspect Soc Th,Current Perspectives in Social Theory,Q4,0,,
J Autism Dev Disord,Journal of Autism and Developmental Disorders,Q1,408,,
J Plant Biochem Biot,Journal of Plant Biochemistry and Biotechnology,Q4,49,印度,半年刊
Rev Cardiovasc Med,Reviews in Cardiovascular Medicine,Q4,32,美国,季刊
Empir Econ,Empirical Economics,Q3,167,,
Z Neuropsychol,Zeitschrift Fur Neuropsychologie,Q4,19,德国,季刊
Wound Manag Prev,Wound Management & Prevention,Q4,43,,
Scand J Public Healt,Scandinavian Journal of Public Health,Q2,101,挪威,双月刊
J Korean Phys Soc,Journal of the Korean Physical Society,Q4,356,韩国,月刊
Child Maltreatment,Child Maltreatment,Q1,41,,
J Tour Cult Change,Journal of Tourism and Cultural Change,Q4,43,,
Bot Mar,Botanica Marina,Q3,50,德国,双月刊
Anal Chim Acta,Analytica Chimica Acta,Q1,857,荷兰,周刊
Biosocieties,Biosocieties,Q2,22,,
Crit Rev Immunol,Critical Reviews in Immunology,Q4,25,美国,双月刊
Ultraschall Med,Ultraschall in Der Medizin,Q1,49,德国,双月刊
B Symb Log,Bulletin of Symbolic Logic,Q4,12,美国,季刊
Rehabil Nurs,Rehabilitation Nursing,Q4,37,美国,双月刊
New York J Math,New York Journal of Mathematics,Q4,59,美国,
J Water Process Eng,Journal of Water Process Engineering,Q1/Q2,317,,
Universal Access Inf,Universal Access in the Information Society,Q2,60,德国,
Eng Fract Mech,Engineering Fracture Mechanics,Q1,488,英国,双月刊
Water Int,Water International,Q2/Q3,45,美国,季刊
Mach Learn,Machine Learning,Q2,80,美国,月刊
J Circuit Syst Comp,Journal of Circuits Systems and Computers,Q3,258,新加坡,双月刊
J Clin Periodontol,Journal of Clinical Periodontology,Q1,142,丹麦,月刊
Abdom Radiol,Abdominal Radiology,Q2,382,,
J Occup Health,Journal of Occupational Health,Q2,55,日本,季刊
Immunity,Immunity,Q1,171,美国,月刊
Pol J Chem Technol,Polish Journal of Chemical Technology,Q3,47,波兰,季刊
Int Immunopharmacol,International Immunopharmacology,Q1/Q2,679,荷兰,月刊
Ergonomics,Ergonomics,Q2/Q3,122,英国,月刊
Evol Psychol-US,Evolutionary Psychology,Q4,39,,
Annu Rev Polit Sci,Annual Review of Political Science,Q1,28,,
Contemp Econ Policy,Contemporary Economic Policy,Q3/Q4,42,,
J Alzheimers Dis,Journal of Alzheimers Disease,Q2,695,荷兰,双月刊
Onkologe,Onkologe,Q4,149,德国,月刊
EJNMMI Res,EJNMMI Research,Q2,109,德国,
Nat Prod Res,Natural Product Research,Q2/Q3,585,英国,双月刊
J Huazhong U Sci-Med,Journal of Huazhong University of Science and Technology-Medical Sciences,Q4,0,中国,双月刊
Oper Orthop Traumato,Operative Orthopadie Und Traumatologie,Q4,44,德国,双月刊
J S Afr Inst Civ Eng,Journal of the South African Institution of Civil Engineering,Q4,24,南非,半年刊
J Electroanal Chem,Journal of Electroanalytical Chemistry,Q1/Q2,871,瑞士,双月刊
J R Stat Soc A Stat,Journal of the Royal Statistical Society Series A-Statistics in Society,Q1,66,英国,三年刊
Acoust Aust,Acoustics Australia,Q3,21,澳大利亚,
Hiroshima Math J,Hiroshima Mathematical Journal,Q4,16,日本,三年刊
Governance,Governance-An International Journal of Policy Administration and Institutions,Q1,41,,
Legal Stud,Legal Studies,Q4,37,,
Biol Fert Soils,Biology and Fertility of Soils,Q1,66,德国,月刊
Energ Buildings,Energy and Buildings,Q1/Q2,665,瑞士,双月刊
Ann Saudi Med,Annals of Saudi Medicine,Q4,58,沙特阿拉伯,双月刊
Int J Sci Educ,International Journal of Science Education,Q3,116,,
Stroke Vasc Neurol,Stroke and Vascular Neurology,Q1,38,,
Med Phys,Medical Physics,Q1,529,美国,月刊
Plant Soil Environ,Plant Soil and Environment,Q2,87,捷克共和国,月刊
J Aerosp Inform Syst,Journal of Aerospace Information Systems,Q3,44,美国,月刊
J Cell Biochem,Journal of Cellular Biochemistry,Q2,1863,美国,双月刊
ACM T Asian Low-Reso,ACM Transactions on Asian and Low-Resource Language Information Processing,Q4,48,,
Vitam Horm,Vitamins and Hormones,Q3,42,美国,不定期
Stratigraphy,Stratigraphy,Q4,12,美国,季刊
Eur Food Res Technol,European Food Research and Technology,Q2,238,德国,月刊
Limnology,Limnology,Q2,31,日本,三年刊
Int J Solids Struct,International Journal of Solids and Structures,Q1,332,英国,双周刊
Indian J Cancer,Indian Journal of Cancer,Q4,65,,不定期
Interv Sch Clin,Intervention in School and Clinic,Q4,38,,
Mrs Commun,Mrs Communications,Q3,174,美国,
Z Padagogik,Zeitschrift Fur Padagogik,Q4,63,,
Phycol Res,Phycological Research,Q3,40,日本,季刊
Prog Rubber Plast Re,Progress in Rubber Plastics and Recycling Technology,Q4,12,英国,季刊
Econ Res-Ekon Istraz,Economic Research-Ekonomska Istrazivanja,Q2,220,,
J Liposome Res,Journal of Liposome Research,Q3,40,美国,季刊
Integr Mater Manuf I,Integrating Materials and Manufacturing Innovation,Q2,40,,
J Psychol,Journal of Psychology,Q2,39,,
J Fish Dis,Journal of Fish Diseases,Q1/Q2,171,英国,双月刊
Aquat Toxicol,Aquatic Toxicology,Q1,268,荷兰,双月刊
Math Ann,Mathematische Annalen,Q2,154,德国,月刊
J Limnol,Journal of Limnology,Q3,28,意大利,半年刊
J Int Adv Otol,Journal of International Advanced Otology,Q4,87,土耳其,三年刊
J Med Imag Radiat on,Journal of Medical Imaging and Radiation Oncology,Q4,112,澳大利亚,双月刊
Eur J Ind Eng,European Journal of Industrial Engineering,Q4,30,英国,季刊
Colorectal Dis,Colorectal Disease,Q2/Q3,127,英国,双月刊
Fash Text,Fashion and Textiles,Q2,32,,
PLoS Neglect Trop D,PLoS Neglected Tropical Diseases,Q1,711,美国,
Crit Rev Oncol Hemat,Critical Reviews in Oncology Hematology,Q1,188,美国,月刊
Meat Sci,Meat Science,Q1,242,英国,月刊
Brachytherapy,Brachytherapy,Q3/Q4,113,美国,季刊
Probl Post-Communism,Problems of Post-Communism,Q2,32,,
Malimbus,Malimbus,Q4,3,,
Sci Robot,Science Robotics,Q1,66,,
Int J Commons,International Journal of the Commons,Q4,52,,
Inf Tarsad,Informacios Tarsadalom,Q4,11,,
Catheter Cardio Inte,Catheterization and Cardiovascular Interventions,Q3,382,美国,月刊
Rev Mex Biodivers,Revista Mexicana de Biodiversidad,Q4,109,,
Korean J Chem Eng,Korean Journal of Chemical Engineering,Q2,234,韩国,双月刊
Int J Soc Welf,International Journal of Social Welfare,Q4,36,,
Fund Math,Fundamenta Mathematicae,Q3,59,波兰,月刊
J Hand Surg-Am,Journal of Hand Surgery-American Volume,Q2,232,美国,双月刊
Mass Spectrom Rev,Mass Spectrometry Reviews,Q1,22,美国,双月刊
Chem Eng Process,Chemical Engineering and Processing-Process Intensification,Q2,256,,
Bioremediat J,Bioremediation Journal,Q3,19,美国,季刊
J Oral Rehabil,Journal of Oral Rehabilitation,Q2,131,英国,双月刊
Int J Multiling,International Journal of Multilingualism,Q1/Q2,31,,
Estud Psicol-Madrid,Estudios de Psicologia,Q4,27,,
Semin Fetal Neonat M,Seminars in Fetal & Neonatal Medicine,Q1,57,英国,双月刊
Electron J Comb,Electronic Journal of Combinatorics,Q3/Q4,215,美国,月刊
Am J Ind Med,American Journal of Industrial Medicine,Q3,110,美国,月刊
Int J Web Serv Res,International Journal of Web Services Research,Q4,19,美国,季刊
Public Health Nurs,Public Health Nursing,Q3/Q4,101,美国,双月刊
Oxford J Legal Stud,Oxford Journal of Legal Studies,Q2,36,,
Oncogene,Oncogene,Q1,500,英国,周刊
J Neuropsych Clin N,Journal of Neuropsychiatry and Clinical Neurosciences,Q3/Q4,57,美国,季刊
Des Autom Embed Syst,Design Automation for Embedded Systems,Q1/Q2,9,荷兰,季刊
Lang Probl Lang Plan,Language Problems & Language Planning,Q4,13,,
Quaternaire,Quaternaire,Q4,13,法国,季刊
ESAIM Contr Optim CA,ESAIM-Control Optimisation and Calculus of Variations,Q2/Q4,72,法国,
Rev Port Cardiol,Revista Portuguesa de Cardiologia,Q4,76,葡萄牙,
Calcolo,Calcolo,Q1/Q2,54,意大利,季刊
Addict Biol,Addiction Biology,Q1/Q2,106,英国,
B Econ Res,Bulletin of Economic Research,Q4,41,,
Curr Stem Cell Res T,Current Stem Cell Research & Therapy,Q3,66,ü阿拉伯联合酋长国,
Diabetol Stoffwechs,Diabetologie Und Stoffwechsel,Q3,35,德国,双月刊
Neuroimmunomodulat,Neuroimmunomodulation,Q4,27,瑞士,双月刊
Cytojournal,Cytojournal,Q4,6,英国,
Gesture,Gesture,Q2,0,,
Discrete Cont Dyn-B,Discrete and Continuous Dynamical Systems-Series B,Q2,312,UNITED STATES,双月刊
Sigmod Rec,Sigmod Record,Q4,17,美国,季刊
Exp Gerontol,Experimental Gerontology,Q2,243,英国,月刊
4OR-Q J Oper Res,4OR-A Quarterly Journal of Operations Research,Q4,16,德国,季刊
Mar Geophys Res,Marine Geophysical Research,Q2,42,荷兰,季刊
Eur J Appl Physiol,European Journal of Applied Physiology,Q2,216,德国,月刊
Mar Pollut Bull,Marine Pollution Bulletin,Q1/Q2,772,英国,月刊
Atom Energy+,Atomic Energy,Q4,126,俄国,月刊
Environ Ethics,Environmental Ethics,Q4,5,,
Estuar Coast,Estuaries and Coasts,Q1/Q3,145,美国,双月刊
Inform Res,Information Research-An International Electronic Journal,Q4,119,,
Comm App Math Com Sc,Communications in Applied Mathematics and Computational Science,Q4,4,美国,
Tohoku Math J,Tohoku Mathematical Journal,Q2,31,日本,季刊
Ultrasound Q,Ultrasound Quarterly,Q4,57,美国,
Gruppenpsychother Gr,Gruppenpsychotherapie Und Gruppendynamik,Q4,21,,
Int J Disabil Dev Ed,International Journal of Disability Development and Education,Q4,32,,
Psychiat Quart,Psychiatric Quarterly,Q3,73,,
Folia Zool,Folia Zoologica,Q4,24,捷克共和国,季刊
Infant Young Child,Infants & Young Children,Q4,20,,
Sociol Res Online,Sociological Research Online,Q3,39,,
Comput Math Organ Th,Computational and Mathematical Organization Theory,Q2/Q3,24,美国,季刊
BMC Med Inform Decis,BMC Medical Informatics and Decision Making,Q3,277,英国,不定期
Investig Clin Urol,Investigative and Clinical Urology,Q3,62,,
Inhal Toxicol,Inhalation Toxicology,Q4,41,美国,月刊
ALEA-Lat Am J Probab,ALEA-Latin American Journal of Probability and Mathematical Statistics,Q4,46,巴西,
Constr Build Mater,Construction and Building Materials,Q1/Q2,2678,英国,双月刊
Med Health Care Phil,Medicine Health Care and Philosophy,Q1/Q2,56,,
Asian J Androl,Asian Journal of Andrology,Q2,88,中国,双月刊
Global Health Action,Global Health Action,Q2,106,瑞典,
J Breast Cancer,Journal of Breast Cancer,Q4,56,韩国,季刊
Act Learn High Educ,Active Learning in Higher Education,Q1,17,,
J Gastroen Hepatol,Journal of Gastroenterology and Hepatology,Q2,265,澳大利亚,月刊
J Syn Org Chem Jpn,Journal of Synthetic Organic Chemistry Japan,Q4,103,日本,月刊
Oral Maxil Surg Clin,Oral and Maxillofacial Surgery Clinics of North America,Q3,50,美国,
Lighting Res Technol,Lighting Research & Technology,Q2,81,英国,季刊
J Reconstr Microsurg,Journal of Reconstructive Microsurgery,Q3,91,美国,双月刊
Cesk Slov Neurol N,Ceska A Slovenska Neurologie A Neurochirurgie,Q4,81,捷克共和国,不定期
Brit J Radiol,British Journal of Radiology,Q3,292,英国,月刊
Eur Const Law Rev,European Constitutional Law Review,Q2,29,,
Appl Immunohisto M M,Applied Immunohistochemistry & Molecular Morphology,Q2/Q3,130,美国,
Discrete Math Theor,Discrete Mathematics and Theoretical Computer Science,Q4,59,FRANCE,季刊
Scand J Urol,Scandinavian Journal of Urology,Q4,58,瑞典,
ACI Struct J,ACI Structural Journal,Q3/Q4,144,美国,双月刊
Faraday Discuss,Faraday Discussions,Q2,190,英国,
Method Inform Med,Methods of Information in Medicine,Q3/Q4,17,德国,季刊
Mater Chem Front,Materials Chemistry Frontiers,Q1,291,,
Mycol Prog,Mycological Progress,Q3,98,德国,季刊
Zuchtungskunde,Zuchtungskunde,Q4,28,德国,双月刊
Mol Omics,Molecular Omics,Q3,37,,
Ecotoxicology,Ecotoxicology,Q2/Q3,117,荷兰,双月刊
Annu Rev Food Sci T,Annual Review of Food Science and Technology,Q1,26,美国,
J Vasc Access,Journal of Vascular Access,Q4,119,,
Ther Adv Neurol Diso,Therapeutic Advances in Neurological Disorders,Q1,69,英国,
Phys Perspect,Physics in Perspective,Q3,9,瑞士,季刊
JAMA Oncol,JAMA Oncology,Q1,151,美国,月刊
Semin Speech Lang,Seminars in Speech and Language,Q4,31,美国,
Mol Genet Genomics,Molecular Genetics and Genomics,Q3,113,德国,月刊
Ann Hum Biol,Annals of Human Biology,Q2/Q3,64,英国,双月刊
Int Food Res J,International Food Research Journal,Q4,199,,
J Essent Oil Bear Pl,Journal of Essential Oil Bearing Plants,Q4,112,印度,双月刊
J Emot Behav Disord,Journal of Emotional and Behavioral Disorders,Q1/Q2,21,,
Stud Psychol,Studia Psychologica,Q4,20,,
J Nonlinear Convex A,Journal of Nonlinear and Convex Analysis,Q2/Q3,185,日本,三年刊
Pers Relationship,Personal Relationships,Q3,26,,
J Manuf Sci E-T Asme,Journal of Manufacturing Science and Engineering-Transactions of the Asme,Q2,183,美国,季刊
Brit Dent J,British Dental Journal,Q4,241,英国,双月刊
IEEE T Transp Electr,IEEE Transactions on Transportation Electrification,Q1,118,,
Front Med-Lausanne,Frontiers in Medicine,Q1,285,,
Numer Math-Theory Me,Numerical Mathematics-Theory Methods and Applications,Q1,57,中国,季刊
J Environ Plann Man,Journal of Environmental Planning and Management,Q2/Q3,126,,
Food Energy Secur,Food and Energy Security,Q1,27,,
J Antibiot,Journal of Antibiotics,Q2/Q3,124,日本,月刊
Quim Nova,Quimica Nova,Q4,146,巴西,双月刊
Fem Criminol,Feminist Criminology,Q2,27,,
Online Inform Rev,Online Information Review,Q2/Q3,87,美国,双月刊
Turkish J Pediatr,Turkish Journal of Pediatrics,Q4,126,土耳其,季刊
Aust Health Rev,Australian Health Review,Q4,100,澳大利亚,季刊
J Futures Markets,Journal of Futures Markets,Q3,78,,
Processes,Processes,Q2,950,,
J Rheol,Journal of Rheology,Q1,60,美国,双月刊
Rural Sociol,Rural Sociology,Q1,21,,
Compr Physiol,Comprehensive Physiology,Q1,40,美国,
Sci China Earth Sci,Science China-Earth Sciences,Q1,133,中国,月刊
Phys Dark Universe,Physics of the Dark Universe,Q1,82,荷兰,
Oncologist,Oncologist,Q2,333,美国,月刊
Clean Technol Envir,Clean Technologies and Environmental Policy,Q2/Q3,141,美国,季刊
Magallania,Magallania,Q4,22,,
Am Stat,American Statistician,Q2,91,美国,季刊
Inland Waters,Inland Waters,Q2,43,英国,
J Mammary Gland Biol,Journal of Mammary Gland Biology and Neoplasia,Q2/Q3,27,美国,季刊
Aquat Microb Ecol,Aquatic Microbial Ecology,Q2/Q3/Q4,37,德国,月刊
Pathology,Pathology,Q1,82,澳大利亚,季刊
Personal Disord,Personality Disorders-Theory Research and Treatment,Q1,58,,
Lancet Gastroenterol,Lancet Gastroenterology & Hepatology,Q1,70,,
J Geol Soc London,Journal of the Geological Society,Q2,87,,
Inquiry,Inquiry-An Interdisciplinary Journal of Philosophy,Q3,49,,
J Doc,Journal of Documentation,Q2,79,,
Acta Geotech,Acta Geotechnica,Q1,126,德国,
J Health Econ,Journal of Health Economics,Q1/Q2,78,荷兰,双月刊
Prev Chronic Dis,Preventing Chronic Disease,Q2,136,美国,
Cell Res,Cell Research,Q1,61,中国,月刊
IEEE T Plasma Sci,IEEE Transactions on Plasma Science,Q3,714,美国,双月刊
IET Intell Transp Sy,IET Intelligent Transport Systems,Q2,207,英国,季刊
Expos Health,Exposure and Health,Q1,25,,
Modern Pathol,Modern Pathology,Q1,173,美国,月刊
Aust Nz J Obstet Gyn,Australian & New Zealand Journal of Obstetrics & Gynaecology,Q3,104,澳大利亚,季刊
Corresp Mhdn,Correspondances En Metabolismes Hormones Diabetes et Nutrition,Q4,18,法国,
J S Asian Dev,Journal of South Asian Development,Q4,13,,
Nat Genet,Nature Genetics,Q1,173,美国,月刊
Immunol Allergy Clin,Immunology and Allergy Clinics of North America,Q3,44,美国,季刊
J Multinatl Financ M,Journal of Multinational Financial Management,Q2,28,,
Stud Lang,Studies in Language,Q4,26,,
Probabilist Eng Mech,Probabilistic Engineering Mechanics,Q1/Q2,24,英国,季刊
Int J Cast Metal Res,International Journal of Cast Metals Research,Q3,31,英国,双月刊
J Energy Storage,Journal of Energy Storage,Q2,411,,
Curr Opin Pharmacol,Current Opinion in Pharmacology,Q1,98,英国,双月刊
Comput Meth Funct Th,Computational Methods and Function Theory,Q3/Q4,42,德国,
Environ Exp Bot,Environmental and Experimental Botany,Q1/Q2,291,英国,季刊
Trop Conserv Sci,Tropical Conservation Science,Q3,70,美国,
J Hydrol Hydromech,Journal of Hydrology and Hydromechanics,Q3,41,斯洛伐克,季刊
Precis Agric,Precision Agriculture,Q1,67,荷兰,双月刊
Wulfenia,Wulfenia,Q4,15,奥地利,年刊
Universe-Basel,Universe,Q3,224,,
Vet Radiol Ultrasoun,Veterinary Radiology & Ultrasound,Q2,88,美国,双月刊
Language,Language,Q2,67,,
Combust Theor Model,Combustion Theory and Modelling,Q2/Q3,53,英国,双月刊
Ann Surg,Annals of Surgery,Q1,295,美国,月刊
J Dyn Syst-T Asme,Journal of Dynamic Systems Measurement and Control-Transactions of the Asme,Q3,207,美国,双月刊
Hla,Hla,Q2/Q3,48,,
Eur J Personality,European Journal of Personality,Q1,30,,
J Plant Interact,Journal of Plant Interactions,Q1,66,英国,
Sustain Mater Techno,Sustainable Materials and Technologies,Q2,43,,
Microbiol Risk Anal,Microbial Risk Analysis,Q2/Q3,20,,
Hist Geo- Space Sci,History of Geo- and Space Sciences,Q4,19,德国,
BMC Chem,BMC Chemistry,Q4,136,,
J Youth Adolescence,Journal of Youth and Adolescence,Q1,162,,
J Fam Econ Iss,Journal of Family and Economic Issues,Q4,49,,
Real-Time Syst,Real-Time Systems,Q2,22,荷兰,双月刊
Phonetica,Phonetica,Q2/Q3/Q4,17,瑞士,季刊
J Appl Sport Psychol,Journal of Applied Sport Psychology,Q2/Q3,27,英国,季刊
Paleoceanogr Paleocl,Paleoceanography and Paleoclimatology,Q1/Q2,114,,
Geopolitics,Geopolitics,Q1/Q2,38,,
Sociology,Sociology-the Journal of the British Sociological Association,Q1,67,,
Main Group Chem,Main Group Chemistry,Q4,47,荷兰,季刊
J Sociol,Journal of Sociology,Q3,44,,
Helicobacter,Helicobacter,Q2,84,美国,季刊
J Optics-UK,Journal of Optics,Q2,272,英国,
Eur J Psychol Appl L,European Journal of Psychology Applied to Legal Context,Q1,10,,
Turk J Field Crops,Turkish Journal of Field Crops,Q3,34,土耳其,半年刊
Harmful Algae,Harmful Algae,Q1,115,美国,季刊
Hyle,Hyle,Q3/Q4,3,德国,年刊
Comput Speech Lang,Computer Speech and Language,Q3,80,英国,季刊
Stem Cell Rep,Stem Cell Reports,Q1,182,美国,月刊
J Neuroimmune Pharm,Journal of Neuroimmune Pharmacology,Q1/Q2,51,美国,季刊
Hum Genet,Human Genetics,Q1,108,美国,月刊
Cardiovasc Toxicol,Cardiovascular Toxicology,Q3,58,美国,季刊
Annu Rev Stat Appl,Annual Review of Statistics and Its Application,Q1,20,美国,
Biocontrol,Biocontrol,Q1,63,荷兰,双月刊
Int J Res Mark,International Journal of Research in Marketing,Q2,39,,
Crit Anthropol,Critique of Anthropology,Q2,22,,
J Cogn Psychother,Journal of Cognitive Psychotherapy,Q4,26,,
Nurs Educ,Nurse Educator,Q2,79,美国,双月刊
J Virol,Journal of Virology,Q1,782,美国,双月刊
Syntax-UK,Syntax-A Journal of Theoretical Experimental and Interdisciplinary Research,Q2,14,,
Appl Anim Behav Sci,Applied Animal Behaviour Science,Q1/Q3,149,荷兰,双周刊
Afr Affairs,African Affairs,Q1/Q2,34,,
B Environ Contam Tox,Bulletin of Environmental Contamination and Toxicology,Q3/Q4,265,美国,月刊
Pragmat Cogn,Pragmatics & Cognition,Q4,0,,
Surg Clin N Am,Surgical Clinics of North America,Q2,83,美国,双月刊
Fems Microbiol Ecol,Fems Microbiology Ecology,Q2,211,荷兰,月刊
Adv Organomet Chem,Advances in Organometallic Chemistry,Q2,9,美国,年刊
Prog Chem,Progress in Chemistry,Q4,138,中国,月刊
Semin Diagn Pathol,Seminars in Diagnostic Pathology,Q2,46,美国,季刊
RLA-Rev Linguist Teo,RLA-Revista de Linguistica Teorica Y Aplicada,Q4,8,,
J Ocean U China,Journal of Ocean University of China,Q4,161,中国,
Sch Eff Sch Improv,School Effectiveness and School Improvement,Q3,25,,
Hong Kong J Emerg Me,Hong Kong Journal of Emergency Medicine,Q4,52,中国,季刊
Automat Rem Contr+,Automation and Remote Control,Q4,162,俄国,月刊
J Ginseng Res,Journal of Ginseng Research,Q1,77,韩国,
Clin Psychol Psychot,Clinical Psychology & Psychotherapy,Q2,55,,
Child Adolesc Soc Wo,Child and Adolescent Social Work Journal,Q3,57,,
Arch Agron Soil Sci,Archives of Agronomy and Soil Science,Q2/Q3,148,英国,
Cells Tissues Organs,Cells Tissues Organs,Q2/Q3/Q4,18,瑞士,月刊
Virtual Real-London,Virtual Reality,Q1/Q2,36,英国,
Discrete Cont Dyn-A,Discrete and Continuous Dynamical Systems,Q1/Q2,299,UNITED STATES,双月刊
Comput Med Imag Grap,Computerized Medical Imaging and Graphics,Q1,56,美国,双月刊
J Cave Karst Stud,Journal of Cave and Karst Studies,Q4,22,美国,三年刊
Phys Chem Liq,Physics and Chemistry of Liquids,Q3/Q4,65,英国,双月刊
Biochem Syst Ecol,Biochemical Systematics and Ecology,Q4,66,英国,双月刊
J Phys G Nucl Partic,Journal of Physics G-Nuclear and Particle Physics,Q2,163,英国,月刊
J Gerontol B-Psychol,Journals of Gerontology Series B-Psychological Sciences and Social Sciences,Q1/Q2,161,美国,双月刊
J Catal,Journal of Catalysis,Q1,497,美国,双月刊
Int J Global Warm,International Journal of Global Warming,Q4,69,英国,
Int Organ,International Organization,Q1,28,,
Heart Surg Forum,Heart Surgery Forum,Q4,87,美国,季刊
Earthq Eng Eng Vib,Earthquake Engineering and Engineering Vibration,Q3/Q4,60,中国,季刊
J Comput High Educ,Journal of Computing in Higher Education,Q1,29,,
Lifetime Data Anal,Lifetime Data Analysis,Q3/Q4,35,荷兰,季刊
Aldrichim Acta,Aldrichimica Acta,Q2,6,美国,三年刊
Am J Physiol-Gastr L,American Journal of Physiology-Gastrointestinal and Liver Physiology,Q1/Q2,146,美国,月刊
Mater Sci-Poland,Materials Science-Poland,Q4,82,波兰,
Adv Data Anal Classi,Advances in Data Analysis and Classification,Q2,43,德国,
Lake Reserv Manage,Lake and Reservoir Management,Q3/Q4,31,美国,季刊
Med Lav,Medicina Del Lavoro,Q4,40,意大利,双月刊
Environ Dev Sustain,Environment Development and Sustainability,Q3,125,,
iForest,iForest-Biogeosciences and Forestry,Q2,70,意大利,
Vet Clin N Am-Equine,Veterinary Clinics of North America-Equine Practice,Q3,39,美国,三年刊
Quant Financ,Quantitative Finance,Q2/Q3,117,英国,双月刊
Int J Acoust Vib,International Journal of Acoustics and Vibration,Q4,75,美国,
Eur Urban Reg Stud,European Urban and Regional Studies,Q2,27,,
Clin Exp Immunol,Clinical and Experimental Immunology,Q2,141,英国,月刊
J Oper Manag,Journal of Operations Management,Q1,35,荷兰,双月刊
Integr Equat Oper Th,Integral Equations and Operator Theory,Q2,55,瑞士,月刊
Crit Care Nurse,Critical Care Nurse,Q2/Q4,40,美国,双月刊
Exp Aging Res,Experimental Aging Research,Q4,31,美国,季刊
Linear Algebra Appl,Linear Algebra and Its Applications,Q2/Q3,396,美国,双月刊
Philos T R Soc A,Philosophical Transactions of the Royal Society A-Mathematical Physical and Engineering Sciences,Q2,330,英国,月刊
Nat Hist,Natural History,Q4,53,美国,月刊
Am J Med Genet A,American Journal of Medical Genetics Part A,Q3,294,美国,双月刊
Bangl J Pharmacol,Bangladesh Journal of Pharmacology,Q4,25,孟加拉国,半年刊
Process Saf Environ,Process Safety and Environmental Protection,Q1,429,英国,双月刊
Criminology,Criminology,Q1,26,,
Contact Dermatitis,Contact Dermatitis,Q1/Q2,83,丹麦,月刊
Nat Rev Endocrinol,Nature Reviews Endocrinology,Q1,46,英国,月刊
Int J Control,International Journal of Control,Q2,238,英国,双月刊
J Afr Law,Journal of African Law,Q4,25,,
Int J Exp Pathol,International Journal of Experimental Pathology,Q3,28,英国,双月刊
Stud Sci Educ,Studies in Science Education,Q1,7,英国,
J Plasma Phys,Journal of Plasma Physics,Q2,83,英国,双月刊
Seed Sci Technol,Seed Science and Technology,Q4,33,荷兰,三年刊
Appl Optics,Applied Optics,Q3,1415,美国,双周刊
P I Civil Eng-Geotec,Proceedings of the Institution of Civil Engineers-Geotechnical Engineering,Q4,44,英国,季刊
Int J Gynecol Pathol,International Journal of Gynecological Pathology,Q3,92,美国,季刊
Immunol Cell Biol,Immunology and Cell Biology,Q2,75,澳大利亚,双月刊
Earthq Spectra,Earthquake Spectra,Q2/Q3,79,美国,季刊
J Fluency Disord,Journal of Fluency Disorders,Q1/Q2/Q3,17,美国,
Mol Nutr Food Res,Molecular Nutrition & Food Research,Q1,241,德国,月刊
Immunol Res,Immunologic Research,Q3,54,美国,双月刊
J Prim Prev,Journal of Primary Prevention,Q2,37,,
Pharmacoepidem Dr S,Pharmacoepidemiology and Drug Safety,Q2,173,英国,双月刊
Market Lett,Marketing Letters,Q4,24,,
Asian Myrmecol,Asian Myrmecology,Q4,0,马来西亚,
Telecommun Policy,Telecommunications Policy,Q2/Q3,73,英国,月刊
ACM T Storage,ACM Transactions on Storage,Q3/Q4,18,美国,
Energ Policy,Energy Policy,Q1,746,英国,月刊
J Near Infrared Spec,Journal of Near Infrared Spectroscopy,Q3,41,英国,双月刊
Sci Immunol,Science Immunology,Q1,73,,
Manage Commun Q,Management Communication Quarterly,Q3/Q4,26,,
Dev Med Child Neurol,Developmental Medicine and Child Neurology,Q1,169,英国,月刊
Neurosurg Rev,Neurosurgical Review,Q2,101,德国,季刊
J Multimodal User in,Journal on Multimodal User Interfaces,Q3,29,德国,
J Tissue Eng,Journal of Tissue Engineering,Q2,42,,
Jokull,Jokull,Q4,0,冰岛,年刊
in Practice,in Practice,Q4,77,英国,月刊
J Adhesion,Journal of Adhesion,Q2,57,英国,月刊
Int J Metalcast,International Journal of Metalcasting,Q3,88,美国,季刊
JNCI-J Natl Cancer I,JNCI-Journal of the National Cancer Institute,Q1,136,美国,双月刊
Acta Bioeng Biomech,Acta of Bioengineering and Biomechanics,Q4,54,波兰,半年刊
Ocul Surf,Ocular Surface,Q1,97,美国,季刊
Biometrika,Biometrika,Q2/Q3,73,英国,季刊
J Elastom Plast,Journal of Elastomers and Plastics,Q4,39,英国,季刊
EvoDevo,EvoDevo,Q2/Q3,32,英国,
J Consciousness Stud,Journal of Consciousness Studies,Q3,73,,
J Int Soc Sport Nutr,Journal of the International Society of Sports Nutrition,Q1,57,美国,月刊
