Journal,IF(2021)
Chinese Journal of Chromatography,N/A
City and Environment Interactions,N/A
Clinical Advances in Periodontics,N/A
Clinical Neurophysiology Practice,N/A
Collectanea Christiana Orientalia,N/A
College & Undergraduate Libraries,N/A
Composites and Advanced Materials,N/A
Concentric-Studies in Linguistics,N/A
Conimbriga-Revista de Arqueologia,N/A
Connecticut Insurance Law Journal,N/A
Contabilidade Gestao e Governanca,N/A
Cuadernos de Historia del Derecho,N/A
Cuadernos de Relaciones Laborales,N/A
Cuadernos de Vivienda y Urbanismo,N/A
Cureus Journal of Medical Science,N/A
Current Colorectal Cancer Reports,N/A
Current Developments in Nutrition,N/A
Current Tropical Medicine Reports,N/A
Dermatology Research and Practice,N/A
Drug Discoveries and Therapeutics,N/A
EUROPE-REVUE LITTERAIRE MENSUELLE,N/A
East Asian Publishing and Society,N/A
Electrochemical Society Interface,N/A
En Blanco-Revista de Arquitectura,N/A
Environment and Urbanization ASIA,N/A
Epidemiologia e Servicos de Saude,N/A
Espiral-Cuadernos del Profesorado,N/A
Estudios de Literatura Colombiana,N/A
Ethical Theory and Moral Practice,N/A
European Journal of Breast Health,N/A
European Journal of Legal Studies,N/A
European Journal of Mental Health,N/A
European Journal of Physiotherapy,N/A
FORUM FOR MODERN LANGUAGE STUDIES,N/A
French Studies in Southern Africa,N/A
Fuzzy Information and Engineering,N/A
GMS Hygiene and Infection Control,N/A
GMS Journal for Medical Education,N/A
GREEK ROMAN AND BYZANTINE STUDIES,N/A
Global Health Research and Policy,N/A
Gomal Journal of Medical Sciences,N/A
Grafica-Journal of Graphic Design,N/A
HISPAMERICA-REVISTA DE LITERATURA,N/A
Health Behavior and Policy Review,N/A
Hearing Balance and Communication,N/A
Historia Instituciones Documentos,N/A
IEEE Solid-State Circuits Letters,N/A
INTERNATIONAL REVIEW OF EDUCATION,N/A
Indian Dermatology Online Journal,N/A
Quinzaines-Lettres Arts et Idees,N/A
REFORMATION & RENAISSANCE REVIEW,N/A
Review of Accounting and Finance,N/A
Review of Communication Research,N/A
Revista Administracao em Dialogo,N/A
Revista Brasileira de Enfermagem,N/A
Revista Ciencias Administrativas,N/A
Revista Colombiana de Sociologia,N/A
Revista Complutense de Educacion,N/A
Revista Estudios Socio-Juridicos,N/A
Revista General de Derecho Penal,N/A
Revista Mexicana de Neurociencia,N/A
Revista de Administracao Publica,N/A
Revista de Hispanismo Filosofico,N/A
Revista de Salud Publica-Cordoba,N/A
Rudarsko-Geolosko-Naftni Zbornik,N/A
SLAVIC AND EAST EUROPEAN JOURNAL,N/A
Samuel Beckett Today/Aujourd'hui,N/A
Schizophrenia Research-Cognition,N/A
Shape Memory and Superelasticity,N/A
Southern African Business Review,N/A
Stellenbosch Theological Journal,N/A
Strength Fracture and Complexity,N/A
Studia Theologica-Czech Republic,N/A
Studies in Economics and Finance,N/A
Teaching and Learning in Nursing,N/A
Teoria y Realidad Constitucional,N/A
Theory and Research in Education,N/A
Ticontre-Teoria Testo Traduzione,N/A
Tourism and Hospitality Research,N/A
Transnational Curriculum Inquiry,N/A
Trauma Surgery & Acute Care Open,N/A
UCJC Business and Society Review,N/A
University of Bologna Law Review,N/A
VICTORIAN LITERATURE AND CULTURE,N/A
WESTERN JOURNAL OF COMMUNICATION,N/A
Western Journal of Legal Studies,N/A
World Journal of Plastic Surgery,N/A
Yorkshire Archaeological Journal,N/A
Zeitschrift fur Palliativmedizin,N/A
AKZENTE-ZEITSCHRIFT FUR LITERATUR,N/A
AMERICAN JOURNAL OF DANCE THERAPY,N/A
AMERICAN JOURNAL OF LEGAL HISTORY,N/A
AMERICAN JOURNAL OF PSYCHOTHERAPY,N/A
ARABIAN ARCHAEOLOGY AND EPIGRAPHY,N/A
ARCHIVOS DE CARDIOLOGIA DE MEXICO,N/A
ARQUIVOS BRASILEROS DE PSICOLOGIA,N/A
ATA Journal of Legal Tax Research,N/A
Acoustical Science and Technology,N/A
Acta Facultatis Xylologiae Zvolen,N/A
Agora-Estudos Classicos em Debate,N/A
Agricultura Sociedad y Desarrollo,N/A
Agricultural Science and Practice,N/A
Anaesthesia Pain & Intensive Care,N/A
Anaesthesiology Intensive Therapy,N/A
Analytical Science and Technology,N/A
Anuario de Historia de la Iglesia,N/A
Applied Chemistry for Engineering,N/A
Applied Research & Agrotechnology,N/A
Archive of Mechanical Engineering,N/A
Arqueologia y Territorio Medieval,N/A
Asian Journal of Management Cases,N/A
Atlantic Journal of Communication,N/A
Australasian Parliamentary Review,N/A
Journal of Facilities Management,N/A
Journal of Gender-Based Violence,N/A
Journal of Global Responsibility,N/A
Journal of Hand and Microsurgery,N/A
Journal of Healthcare Leadership,N/A
Journal of Human Rights Practice,N/A
Journal of Humanistic Counseling,N/A
Journal of Institutional Studies,N/A
Journal of Intercultural Studies,N/A
Journal of Investment Management,N/A
Journal of Investment Strategies,N/A
Journal of Kidney Cancer and VHL,N/A
Journal of Laboratory Physicians,N/A
Journal of Mathematical Analysis,N/A
Journal of Mathematical Behavior,N/A
Journal of Modern Jewish Studies,N/A
Journal of Modern Transportation,N/A
Journal of North African Studies,N/A
Journal of Open Archaeology Data,N/A
Journal of Popular Music Studies,N/A
Journal of Radiosurgery and SBRT,N/A
Journal of Social Policy Studies,N/A
Journal of Student Financial Aid,N/A
Journal of Supreme Court History,N/A
Journal of Surface Investigation,N/A
Journal of Surgical Case Reports,N/A
Journal of Teaching and Learning,N/A
Journal of Visual Art and Design,N/A
Journal of War & Culture Studies,N/A
Journal of the Endocrine Society,N/A
Jurnal Ilmu Ternak dan Veteriner,N/A
KOREAN JOURNAL OF PLANT TAXONOMY,N/A
Knowledge and Process Management,N/A
Korean Journal of Remote Sensing,N/A
Landscape Architecture Frontiers,N/A
Language and Linguistics Compass,N/A
Laser & Optoelectronics Progress,N/A
Law and Financial Markets Review,N/A
Leadership and Policy in Schools,N/A
Life Sciences Society and Policy,N/A
Management Research and Practice,N/A
Marine Intellectual Technologies,N/A
McGill Journal of Law and Health,N/A
Media Education-Mediaobrazovanie,N/A
Melanges de la Casa de Velazquez,N/A
Mental Health Religion & Culture,N/A
Modern Rheumatology Case Reports,N/A
Montenegrin Journal of Economics,N/A
Multiple Sclerosis International,N/A
Music Sound and the Moving Image,N/A
Neurology Research International,N/A
Nineteenth-Century Art Worldwide,N/A
North American Actuarial Journal,N/A
Nutrition and Metabolic Insights,N/A
PROGRESS IN PEDIATRIC CARDIOLOGY,N/A
Papers on Social Representations,N/A
Patient-Related Outcome Measures,N/A
Poblacion y Salud en Mesoamerica,N/A
Polish Journal of Otolaryngology,N/A
Postepy Psychiatrii i Neurologii,N/A
Problemele Energeticii Regionale,N/A
Psychoanalysis Culture & Society,N/A
Public Finance Quarterly-Hungary,N/A
Public Works Management & Policy,N/A
Computational Management Science,N/A
Constitutional Political Economy,N/A
Counselling Psychology Quarterly,N/A
Critical Studies in Mens Fashion,N/A
Critical and Radical Social Work,N/A
Current Fungal Infection Reports,N/A
Current Genetic Medicine Reports,N/A
Current Nutrition & Food Science,N/A
Dermatologie in Beruf und Umwelt,N/A
EGYPTIAN JOURNAL OF SOIL SCIENCE,N/A
EIGSE-A JOURNAL OF IRISH STUDIES,N/A
East European Journal of Physics,N/A
Education Research International,N/A
Egyptian Journal of Neurosurgery,N/A
Electronic Journal of e-Learning,N/A
Emerging Topics in Life Sciences,N/A
Emotions-History Culture Society,N/A
Epilepsy & Behavior Case Reports,N/A
Equality Diversity and Inclusion,N/A
Equity & Excellence in Education,N/A
Estudios de Historia Novohispana,N/A
Eurasian Chemical Communications,N/A
European Journal of Rheumatology,N/A
European Journal of Therapeutics,N/A
Evolutionary Behavioral Sciences,N/A
Fonseca-Journal of Communication,N/A
Food and Waterborne Parasitology,N/A
Frontiers of Philosophy in China,N/A
Giornale Italiano di Cardiologia,N/A
Global Responsibility to Protect,N/A
Global Trade and Customs Journal,N/A
H-ermes-Journal of Communication,N/A
HSE-Social and Education History,N/A
Howard Journal of Communications,N/A
INMATEH-Agricultural Engineering,N/A
Indonesian Capital Market Review,N/A
Indonesian Journal of Geoscience,N/A
International Game Theory Review,N/A
International Journal of GEOMATE,N/A
International Journal of Testing,N/A
International Real Estate Review,N/A
International Sports Law Journal,N/A
JOURNAL OF ANALYTICAL PSYCHOLOGY,N/A
JOURNAL OF ENVIRONMENTAL BIOLOGY,N/A
JOURNAL OF INDO-EUROPEAN STUDIES,N/A
JOURNAL OF LATINOS AND EDUCATION,N/A
JOURNAL OF MEDICAL INVESTIGATION,N/A
JOURNAL OF MEDITERRANEAN STUDIES,N/A
Journal for the Study of Judaism,N/A
Journal of Aging and Environment,N/A
Journal of Agricultural Sciences,N/A
Journal of Antitrust Enforcement,N/A
Journal of Asia Business Studies,N/A
Journal of Audiology and Otology,N/A
Journal of Chiropractic Medicine,N/A
Journal of Cognition and Culture,N/A
Journal of Cognitive Enhancement,N/A
Journal of Communication Inquiry,N/A
Journal of Contemporary Painting,N/A
Journal of Contemporary Religion,N/A
Journal of Corporate Real Estate,N/A
Journal of Current Ophthalmology,N/A
Journal of Developmental Biology,N/A
Journal of Enabling Technologies,N/A
Seoul Journal of Korean Studies,N/A
South African Actuarial Journal,N/A
South Asian History and Culture,N/A
Spanish Journal of Soil Science,N/A
Storinky Istoriyi-History Pages,N/A
Studia Geotechnica et Mechanica,N/A
TOURISM CULTURE & COMMUNICATION,N/A
Taiwan Journal of Ophthalmology,N/A
Theoretical and Applied Ecology,N/A
Thought-A Journal of Philosophy,N/A
Translational Medicine at UniSa,N/A
Trends in Carbohydrate Research,N/A
Trends in Urology & Mens Health,N/A
Tropical Animal Science Journal,N/A
Tropical Life Sciences Research,N/A
Turkish Journal of Orthodontics,N/A
UNIVERSITY OF TORONTO QUARTERLY,N/A
Value in Health Regional Issues,N/A
Video-Assisted Thoracic Surgery,N/A
Virtualidad Educacion y Ciencia,N/A
WMU Journal of Maritime Affairs,N/A
Womens Studies in Communication,N/A
X-Ray Structure Analysis Online,N/A
Yuyan Kexue-Linguistic Sciences,N/A
ZEITSCHRIFT FUR KUNSTGESCHICHTE,N/A
ACTA SCIENTIARUM-HEALTH SCIENCES,N/A
ALLGEMEINE FORST UND JAGDZEITUNG,N/A
AMERICAN PHILOSOPHICAL QUARTERLY,N/A
ARCHIVES OF AMERICAN ART JOURNAL,N/A
Advanced Pharmaceutical Bulletin,N/A
Advances in Integrative Medicine,N/A
Advances in Respiratory Medicine,N/A
Advances in Traditional Medicine,N/A
African Journal of Legal Studies,N/A
American Journal of Case Reports,N/A
Anuario de Filosofia del Derecho,N/A
Aotearoa New Zealand Social Work,N/A
Application of Clinical Genetics,N/A
Applied Surface Science Advances,N/A
Aquatic Sciences and Engineering,N/A
Asia-Pacific Journal-Japan Focus,N/A
Asian Journal of Business Ethics,N/A
Asian Journal of Law and Society,N/A
Atlantic Studies-Global Currents,N/A
Australasian Plant Disease Notes,N/A
Avances en Ciencias e Ingenieria,N/A
Big Data and Cognitive Computing,N/A
Boletin de Ciencias de la Tierra,N/A
British Columbia Medical Journal,N/A
British Journal of Music Therapy,N/A
British Journal of Psychotherapy,N/A
Bulletin of Tokyo Dental College,N/A
CAHIERS VICTORIENS & EDOUARDIENS,N/A
CAMBRIAN MEDIEVAL CELTIC STUDIES,N/A
CAMBRIDGE ARCHAEOLOGICAL JOURNAL,N/A
CYBERNETICS AND SYSTEMS ANALYSIS,N/A
Cadernos de Estudos Linguisticos,N/A
Case Reports in Gastroenterology,N/A
Case Studies on Transport Policy,N/A
Central European Business Review,N/A
Chinese Political Science Review,N/A
Chinese Science Bulletin-Chinese,N/A
Civil Engineering Journal-Tehran,N/A
Clinical Pediatric Endocrinology,N/A
Journal of Multiscale Modelling,N/A
Journal of Muslim Mental Health,N/A
Journal of Occupational Science,N/A
Journal of Optical Microsystems,N/A
Journal of Osteopathic Medicine,N/A
Journal of Pentecostal Theology,N/A
Journal of Polymer & Composites,N/A
Journal of Postcolonial Writing,N/A
Journal of Public Mental Health,N/A
Journal of Research in Pharmacy,N/A
Journal of Statistics Education,N/A
Journal of Structural Biology-X,N/A
Journal of Tourism and Services,N/A
Knee Surgery & Related Research,N/A
Landscape Architecture Magazine,N/A
Lesnoy Zhurnal-Forestry Journal,N/A
Liberabit-Revista de Psicologia,N/A
Lung Cancer-Targets and Therapy,N/A
Materials Physics and Mechanics,N/A
Mathematics in Computer Science,N/A
Mechatronic Systems and Control,N/A
Medical Studies-Studia Medyczne,N/A
Mexico y la Cuenca del Pacifico,N/A
Middle East Development Journal,N/A
Minerva Dental and Oral Science,N/A
Molecular and Clinical Oncology,N/A
Muenster Journal of Mathematics,N/A
NAR Genomics and Bioinformatics,N/A
Nationalism and Ethnic Politics,N/A
New Microbes and New Infections,N/A
Nineteenth-Century Music Review,N/A
Norwegian Archaeological Review,N/A
Orthopedic Research and Reviews,N/A
PACIFIC PHILOSOPHICAL QUARTERLY,N/A
Palestine Exploration Quarterly,N/A
Pegem Egitim ve Ogretim Dergisi,N/A
Perspectivas de la Comunicacion,N/A
Portugaliae Electrochimica Acta,N/A
Production Engineering Archives,N/A
Prolegomenos-Derechos y Valores,N/A
Psychoanalysis Self and Context,N/A
RESEARCH IN AFRICAN LITERATURES,N/A
REVIEWS IN MEDICAL MICROBIOLOGY,N/A
REVUE D HISTOIRE ECCLESIASTIQUE,N/A
RIVISTA DI LETTERATURA ITALIANA,N/A
RIVISTA ITALIANA DI MUSICOLOGIA,N/A
Radiology Research and Practice,N/A
Research and Reports in Urology,N/A
Research in Learning Technology,N/A
Review of Asset Pricing Studies,N/A
Review of Economic Perspectives,N/A
Revista Brasileira de Marketing,N/A
Revista CS en Ciencias Sociales,N/A
Revista Catalana de Dret Public,N/A
Revista Educacion en Ingenieria,N/A
Revista Eletronica Pesquiseduca,N/A
Revista La Propiedad Inmaterial,N/A
Revista Perspectiva Empresarial,N/A
Revista de Ensino de Bioquimica,N/A
Revista de Estudos da Linguagem,N/A
Roads and Bridges-Drogi i Mosty,N/A
Rudn Journal of Russian History,N/A
SCANDINAVIAN JOURNAL OF HISTORY,N/A
Scottish Archaeological Journal,N/A
Emerging Themes in Epidemiology,N/A
Enrahonar-Quaderns de Filosofia,N/A
Estonian Journal of Archaeology,N/A
Estudios Demograficos y Urbanos,N/A
Eurasian Journal of Pulmonology,N/A
European Journal of Archaeology,N/A
European Journal of Mathematics,N/A
European Radiology Experimental,N/A
Facts Views and Vision in ObGyn,N/A
Fashion Style & Popular Culture,N/A
Filigrane-Revue de Psychanalyse,N/A
Folia Linguistica et Litteraria,N/A
Frontiers in Sustainable Cities,N/A
Frontiers of Economics in China,N/A
Frontiers of Education in China,N/A
GENETICS AND MOLECULAR RESEARCH,N/A
Gender Technology & Development,N/A
Geography and Natural Resources,N/A
Geological Field Trips and Maps,N/A
Giornale Italiano di Endodonzia,N/A
HISTOIRE SOCIALE-SOCIAL HISTORY,N/A
Health Problems of Civilization,N/A
Healthcare Informatics Research,N/A
Hebrew Bible and Ancient Israel,N/A
Hong Kong Physiotherapy Journal,N/A
Hrvatski Dijalektoloski Zbornik,N/A
IEEE Power Electronics Magazine,N/A
INDIAN JOURNAL OF DAIRY SCIENCE,N/A
INTERNATIONAL APPLIED MECHANICS,N/A
Indonesian Journal of Chemistry,N/A
Informes Cientificos y Tecnicos,N/A
Infrastructure Asset Management,N/A
International Review of Mission,N/A
Investigaciones Fenomenologicas,N/A
Iranian Journal of Microbiology,N/A
JCO Clinical Cancer Informatics,N/A
JNT-JOURNAL OF NARRATIVE THEORY,N/A
JOURNAL OF EGYPTIAN ARCHAEOLOGY,N/A
JOURNAL OF FAMILY COMMUNICATION,N/A
JOURNAL OF MODERN GREEK STUDIES,N/A
JOURNAL OF NEAR EASTERN STUDIES,N/A
JOURNAL OF THE HISTORY OF IDEAS,N/A
Journal fur Mathematik-Didaktik,N/A
Journal of Advanced Dielectrics,N/A
Journal of Aesthetics & Culture,N/A
Journal of Analysis and Testing,N/A
Journal of Applied Glycoscience,N/A
Journal of Applied Hermeneutics,N/A
Journal of Clinical Neonatology,N/A
Journal of Comparative Politics,N/A
Journal of Conflict Archaeology,N/A
Journal of Control and Decision,N/A
Journal of Developing Societies,N/A
Journal of Early Modern Studies,N/A
Journal of Economic Integration,N/A
Journal of Enterprising Culture,N/A
Journal of Eta Maritime Science,N/A
Journal of Family Psychotherapy,N/A
Journal of Feminist Scholarship,N/A
Journal of Financial Regulation,N/A
Journal of Formalized Reasoning,N/A
Journal of Health and Pollution,N/A
Journal of Management Education,N/A
Journal of Maritime Archaeology,N/A
Tsukuba Journal of Mathematics,N/A
Turkish Archives of Pediatrics,N/A
Ukrainian Metrological Journal,N/A
Ukrainskyi Istorychnyi Zhurnal,N/A
Vakuum in Forschung und Praxis,N/A
Veterinary Record Case Reports,N/A
Vietnam Journal of Mathematics,N/A
Visual Communication Quarterly,N/A
WILLIAM CARLOS WILLIAMS REVIEW,N/A
Water Quality Research Journal,N/A
World Development Perspectives,N/A
YEARBOOK FOR TRADITIONAL MUSIC,N/A
ACTA SCIENTIARUM MATHEMATICARUM,N/A
AMERICAN JOURNAL OF ARCHAEOLOGY,N/A
AMERICAN STUDIES IN SCANDINAVIA,N/A
Acta Medico-Historica Adriatica,N/A
Administracao-Ensino e Pesquisa,N/A
Advanced Biomedical Engineering,N/A
Advances in Operations Research,N/A
Aerosol Science and Engineering,N/A
Annales Instituti Archaeologici,N/A
Annales Mathematicae Silesianae,N/A
Annales Mathematiques du Quebec,N/A
Annals in Social Responsibility,N/A
Annals of Applied Sport Science,N/A
Anuario CIDOB de la Inmigracion,N/A
Archaeological Research in Asia,N/A
Archives for Technical Sciences,N/A
Archives of Foundry Engineering,N/A
Archives of Plastic Surgery-APS,N/A
Argumentos-Revista de Filosofia,N/A
Armenian Journal of Mathematics,N/A
Asian Review of World Histories,N/A
Aufklarung-Revista de Filosofia,N/A
Australian Feminist Law Journal,N/A
Australian Geomechanics Journal,N/A
Balneo and PRM Research Journal,N/A
Banats Journal of Biotechnology,N/A
Basic and Clinical Neuroscience,N/A
Bibliothek Forschung und Praxis,N/A
Bio-based and Applied Economics,N/A
Biomedical Research and Therapy,N/A
COCHLEAR IMPLANTS INTERNATIONAL,N/A
Case Studies in the Environment,N/A
Castilla-Estudios de Literatura,N/A
Chemistry & Chemical Technology,N/A
Chinese Journal of Traumatology,N/A
Claridades-Revista de Filosofia,N/A
Cogent Mathematics & Statistics,N/A
Comparative Exercise Physiology,N/A
Conflict Security & Development,N/A
Conformal Geometry and Dynamics,N/A
Construction Innovation-England,N/A
Contemporary Clinical Dentistry,N/A
Critical Care Nursing Quarterly,N/A
Cuadernos de Filologia Italiana,N/A
Cuadernos de Rusistica Espanola,N/A
Current Transplantation Reports,N/A
Desenvolvimento e Meio Ambiente,N/A
EGYPTIAN JOURNAL OF ANAESTHESIA,N/A
Educational Media International,N/A
Egyptian Journal of Bronchology,N/A
Egyptian Journal of Haematology,N/A
Egyptian Pharmaceutical Journal,N/A
Law Culture and the Humanities,N/A
Llengua Societat i Comunicacio,N/A
Mechanical Engineering Journal,N/A
Mechanical Engineering Reviews,N/A
Medijske Studije-Media Studies,N/A
Mediterranea-Ricerche Storiche,N/A
Metode Science Studies Journal,N/A
Micro and Nano Systems Letters,N/A
Middle East Law and Governance,N/A
Multicultural Education Review,N/A
NEW ZEALAND JOURNAL OF HISTORY,N/A
Nordic Journal of Human Rights,N/A
Nova et Vetera-English Edition,N/A
Nuances-Estudos sobre Educacao,N/A
Nursing Education Perspectives,N/A
Open Access Emergency Medicine,N/A
Parasitologists United Journal,N/A
Pesquisa Agropecuaria Tropical,N/A
Physical Education of Students,N/A
Planning Practice and Research,N/A
Problemy Istoricheskoi Poetiki,N/A
Proyecto Progreso Arquitectura,N/A
Psyche-A Journal of Entomology,N/A
Psychology Society & Education,N/A
QUALITY ASSURANCE IN EDUCATION,N/A
REVISTA DE ESTUDIOS HISPANICOS,N/A
REVUE PHILOSOPHIQUE DE LOUVAIN,N/A
RUSSIAN HISTORY-HISTOIRE RUSSE,N/A
Regenerative Medicine Research,N/A
Religious Studies and Theology,N/A
Results in Applied Mathematics,N/A
Review of Behavioral Economics,N/A
Revista Brasileira de Historia,N/A
Revista Brasileira de Inovacao,N/A
Revista Colombiana de Bioetica,N/A
Revista Cubana de Reumatologia,N/A
Revista Espanola de Sociologia,N/A
Revista Tecnologia e Sociedade,N/A
Revista Universidad y Sociedad,N/A
Revista de Antropologia Social,N/A
Revista de Educacion Inclusiva,N/A
Revista de Estudios Regionales,N/A
Revista de Historia das Ideias,N/A
Revista de Letras Norte@mentos,N/A
Riset Geologi dan Pertambangan,N/A
Rivista Storica Dell Antichita,N/A
Russian Journal of Criminology,N/A
Russian Journal of Linguistics,N/A
SAGE Open Medical Case Reports,N/A
SOUTHERN JOURNAL OF PHILOSOPHY,N/A
Saudi Journal of Ophthalmology,N/A
School Leadership & Management,N/A
School Science and Mathematics,N/A
Southern Communication Journal,N/A
Studies in Australasian Cinema,N/A
THEATRE RESEARCH INTERNATIONAL,N/A
Tamkang Journal of Mathematics,N/A
Teaching Public Administration,N/A
Teaching Theology and Religion,N/A
Text and Performance Quarterly,N/A
Therapeutic Recreation Journal,N/A
Tobacco Prevention & Cessation,N/A
Tomsk State University Journal,N/A
Tourism Planning & Development,N/A
Indian Journal of Rheumatology,N/A
Indonesian Journal of Pharmacy,N/A
Innovation & Management Review,N/A
International Aquatic Research,N/A
International Critical Thought,N/A
International Planning Studies,N/A
Iranian Journal of Neonatology,N/A
Issues in Educational Research,N/A
Italian Journal of Food Safety,N/A
Italian Journal of Linguistics,N/A
JOURNAL OF AESTHETIC EDUCATION,N/A
JOURNAL OF APPLIED AQUACULTURE,N/A
JOURNAL OF BIBLICAL LITERATURE,N/A
JOURNAL OF CHILD PSYCHOTHERAPY,N/A
JOURNAL OF GLBT FAMILY STUDIES,N/A
JOURNAL OF GYNECOLOGIC SURGERY,N/A
JOURNAL OF HIGH SPEED NETWORKS,N/A
JOURNAL OF PHARMACY TECHNOLOGY,N/A
JOURNAL OF PHILOSOPHICAL LOGIC,N/A
JOURNAL OF POPULATION RESEARCH,N/A
JOURNAL OF THEOLOGICAL STUDIES,N/A
Journal of African Archaeology,N/A
Journal of Biomedical Research,N/A
Journal of Borderlands Studies,N/A
Journal of Cancer Epidemiology,N/A
Journal of Classical Sociology,N/A
Journal of Criminal Psychology,N/A
Journal of Dentistry Indonesia,N/A
Journal of Digestive Endoscopy,N/A
Journal of Financial Reporting,N/A
Journal of Huntingtons Disease,N/A
Journal of Intelligent Systems,N/A
Journal of Islamic Archaeology,N/A
Journal of Islamic Manuscripts,N/A
Journal of Juristic Papyrology,N/A
Journal of Legislative Studies,N/A
Journal of Marketing Analytics,N/A
Journal of Marketing Education,N/A
Journal of New Zealand Studies,N/A
Journal of Nursing Measurement,N/A
Journal of Nutritional Science,N/A
Journal of Organization Design,N/A
Journal of Pacific Archaeology,N/A
Journal of Pediatric Infection,N/A
Journal of Pediatric Neurology,N/A
Journal of Perinatal Education,N/A
Journal of Political Marketing,N/A
Journal of Primary Health Care,N/A
Journal of Psychiatric Nursing,N/A
Journal of Radio & Audio Media,N/A
Journal of Religious Education,N/A
Journal of Research in Nursing,N/A
Journal of Scandinavian Cinema,N/A
Journal of Scottish Philosophy,N/A
Journal of Strategic Marketing,N/A
Journal of Thermal Engineering,N/A
Journal of World Popular Music,N/A
Jurnal Manajemen Hutan Tropika,N/A
Kalagatos-Revista de Filosofia,N/A
Kriterion-Revista de Filosofia,N/A
Kyiv-Mohyla Humanities Journal,N/A
Kyungpook Mathematical Journal,N/A
LEARNING ENVIRONMENTS RESEARCH,N/A
Landscape Architecture and Art,N/A
Asia Pacific Management Review,N/A
Asia-Pacific Financial Markets,N/A
Asian Journal of Pharmaceutics,N/A
Atmospheric and Oceanic Optics,N/A
Australasian Marketing Journal,N/A
Australian Universities Review,N/A
Austrian Journal of Statistics,N/A
Bio-Algorithms and Med-Systems,N/A
Boletim de Ciencias Geodesicas,N/A
Bulgarian Astronomical Journal,N/A
CANADIAN JOURNAL OF PHILOSOPHY,N/A
COMPARATIVE LITERATURE STUDIES,N/A
Case Reports in Otolaryngology,N/A
Catalan Journal of Linguistics,N/A
Catholic Social Science Review,N/A
Cerebrovascular Diseases Extra,N/A
Chinese Language and Discourse,N/A
Colonial Latin American Review,N/A
Communication Research Reports,N/A
Comparative Population Studies,N/A
Composites Theory and Practice,N/A
Computational Condensed Matter,N/A
Computational Thermal Sciences,N/A
Critical Studies in Television,N/A
Croatian Journal of Philosophy,N/A
Cuadernos de Estudios Gallegos,N/A
Current Anesthesiology Reports,N/A
Current Cancer Therapy Reviews,N/A
Current Research in Toxicology,N/A
Current Sleep Medicine Reports,N/A
Diasporas-Histoire et Societes,N/A
Documentation et Bibliotheques,N/A
Documents d Analisi Geografica,N/A
E&G Quaternary Science Journal,N/A
ENDO-Endodontic Practice Today,N/A
EUROPEAN JOURNAL OF HEALTH LAW,N/A
EUROPEAN JOURNAL OF PHILOSOPHY,N/A
Economia Sociedad y Territorio,N/A
Economics and Business Letters,N/A
Edad Media-Revista de Historia,N/A
Eirene-Studia Graeca et Latina,N/A
Eksperimentalnaya Psikhologiya,N/A
Energy Ecology and Environment,N/A
Estudios de Historia de Espana,N/A
European Review of Private Law,N/A
Expert Review of Ophthalmology,N/A
FWU Journal of Social Sciences,N/A
Frontiers in Built Environment,N/A
Frontiers of Narrative Studies,N/A
Fuentes el Reventon Energetico,N/A
Glass Structures & Engineering,N/A
Global & Local Economic Review,N/A
Global Change Peace & Security,N/A
Global Media and Communication,N/A
HISTORY OF EDUCATION QUARTERLY,N/A
HOLOCAUST AND GENOCIDE STUDIES,N/A
Hipertension y Riesgo Vascular,N/A
Historia y Comunicacion Social,N/A
Hong Kong Journal of Radiology,N/A
INDIAN JOURNAL OF MICROBIOLOGY,N/A
INTERNATIONAL ECONOMIC JOURNAL,N/A
ISSUES IN ACCOUNTING EDUCATION,N/A
Ideas in Ecology and Evolution,N/A
Indian Journal of Neurosurgery,N/A
Revista de Historia-Sao Paulo,N/A
Revue Roumaine de Philosophie,N/A
Revue d Histoire des Sciences,N/A
Romanian Astronomical Journal,N/A
SAIEE Africa Research Journal,N/A
Science of Gymnastics Journal,N/A
Sensors and Actuators Reports,N/A
Serbian Journal of Management,N/A
Social Psychology and Society,N/A
Social Responsibility Journal,N/A
Social Work-Maatskaplike Werk,N/A
South African Family Practice,N/A
South African Theatre Journal,N/A
South Asian Journal of Cancer,N/A
Soviet and Post Soviet Review,N/A
Stilistica e Metrica Italiana,N/A
Stroke Research and Treatment,N/A
Studies in World Christianity,N/A
TIJDSCHRIFT VOOR GESCHIEDENIS,N/A
TPM-The Philosophers Magazine,N/A
Taiwan Journal of Linguistics,N/A
Teaching Exceptional Children,N/A
Think-Philosophy for Everyone,N/A
Totalitarismus und Demokratie,N/A
Traditional Medicine Research,N/A
Transactions on Combinatorics,N/A
Translational Sports Medicine,N/A
Trumpeter-Journal of Ecosophy,N/A
Turkish Journal of Immunology,N/A
Turkish Journal of Nephrology,N/A
Ultrasound International Open,N/A
Veterinary and Animal Science,N/A
WALT WHITMAN QUARTERLY REVIEW,N/A
Water Practice and Technology,N/A
Water Science and Engineering,N/A
World Cancer Research Journal,N/A
World Medical & Health Policy,N/A
World of Medicine and Biology,N/A
Written Language and Literacy,N/A
Zeitschrift fur Epileptologie,N/A
ACTA ANAESTHESIOLOGICA BELGICA,N/A
AUSTRALIAN BUSINESS LAW REVIEW,N/A
Accounts of Materials Research,N/A
Acta Technologica Agriculturae,N/A
Advances in Digestive Medicine,N/A
Advances in Radiation Oncology,N/A
Aerospace Research in Bulgaria,N/A
Aisthema-International Journal,N/A
